,Review,Rating
0, One was 1600 rupees and had cockroaches literally just running about on the bed; the guy just shrugged when I pointed that out.,0
1," I just wish I felt as clean as my sleeper having for the second time in a row,",0
2,The hotel was pretty dirty and crusty and I'm sharing a dorm in it as it was the cheapest place I could find with a central location close to the sights.,1
3, there are just 700 toilets for half a million people that are only cleaned weekly.,1
4,026 concrete baths and about the same number of dhobis getting through much of Mumbai's dirty laundry.,1
5, We had eggless waffles and delicious fresh juices and organic teas.,0
6," India always has a smell; whether it's sewage,",1
7, unlike here in Northern India) and the toilet was a squat one.,0
8," clean and welcoming sanctuary for a weary traveller,",1
9, The smell of all the herbs was really nice though.,1
10, Revenir holidays had a pretty good swimming pool (though not very clean still good enough) and we took our time there to make full use of the facility.,1
11, That rule has gone a long way in keeping the place pollution free and maintaining the forest in its original state.,1
12, The place was very clean and the idols were very beautifully crafted.,1
13, Lonavala has become pretty crowded with more and more tourists while Matheran has been able to maintain a pollution free forest like environment.,1
14, This again as always led to us calling our trek organizer umpteen number of times before finalizing the exact number.,1
15, the gym guy was helpful again but trying to get me to change to a new programme and I was like no… I am happy with this one and as I’m only here for another day I’m not sure your one will really be helpful to me… I arrived back in the room to get ready for work to find the attendant about to clean it… I asked him to wait 30 minutes until I left.,0
16," Surprisingly this shabby train with dirty windows and toilet rated highly on the India railways survey,",1
17, confirming that standards of cleanliness are entirely relative.,1
18, as my taxi entered in Colaba I could finally breathe & smell the sea.,1
19, It has been made worse by a fire at a rubbish dump.,0
20, clean and friendly hotel.,1
21, They had great vegan and organic food.,1
22, clean and peaceful place.,1
23," The smell was all that """"stuck"""" to us.",1
24," The driver quickly """"cleaned"""" it with a little bit of water.",0
25, After 3 shaking hours there was a short toilet stop (which we thankfully did not need!,1
26, It is not so very well maintained as the Taj Mahal but still some effort is put into the gardens and the building.,1
27,After a wonderful night in a clean bed and a quiet room we had breakfast in our room (strange for us but popular in India - and it was included and really tasty).,0
28, Add more trash and refuse to an already over-populated landscape?,0
29, desperate for the toilet only too find the most disgusting ones I have ever seen in my entire life.,1
30," One row were squat toilets and the only were normal,",1
31, lovely water and the awesomely maintained streets.,1
32, I had to go to the toilet and I crossed the street to use a public toilet on the corner.,0
33, They had some urinals there and the stench was unbearable.,1
34, ever smelled such a bad urine odour before!,1
35," This company organizes walking tours through Dharavi,",1
36, On the right there were kids playing cricket but the field had a lot of garbage laying around.,0
37, A whole disorganized block of shacks and houses made of inadequate material and roofs full of plastic and other rubbish is what your eyes will be seeing when standing on that bridge.,0
38," dirty water flows along the streets at some parts,",1
39, children walking bare feet and playing close to a pile of garbage just behind their house.,0
40, Harihareshwar gram panchyat has made good efforts to make beach and its surrounding look like Mumbai chowpati and have tried to maintain thru Modi’s swachta abhiyan campaign.,1
41," Rooms were clean and hygienic,",1
42, My Fiesta was ready with half tank full and wind shields clean from dust!,1
43," but it was clean (and if you wish they clean daily),",0
44, It is like a rat race.,0
45," Rats (really huge ones) were running along the streets,",0
46," it is fascinating - but it is definitely a rat race,",0
47, but not as clean as I would like to feel!,1
48, has a very few stoppages and is clean and well maintained.,1
49, well maintained shul in Alibag.,1
50, but we found out after that it was very hard to clean and wipe off.,1
51,Hotel Oberoi is a very basic clean hotel which seems to have started only couple of years ago.,1
52, Its not maintained well at all.,1
53," and dirtiness that is Mumbai,",1
54, For us guys at least we have 2 banks of urinals to use in addition to a few stalls.,0
55,hard time maintaining my composure.,1
56,"Clean rooms,",1
57," the litter and rubbish everywhere,",1
58,We cleaned up and went out to explore the city.,0
59, I had my sandals cleaned and fixed by a shoe shine guy.,0
60, and of course once again crammed to the hilt – I wish I could transport you all for the sounds and smells (ok so some of the smells not that great) often of burning incense which can only mean two things food stalls or temples.,0
61," I have to say the tidal line is also incredibly clean and one I find remarkable as the rest of the beach,",1
62, It might all change when the monsoon comes and all the rubbish from the fishing boats comes floating in and all the rubbish on the land gets washed into the sea.,0
63,Today my mother and I had breakfast as usual and took a walk around the smaller areas around the hotel to drop off some dry cleaning and ended up in a very residential area.,1
64," smells (good and bad),",1
65, Chowpatty beach also seems to be a popular place for waste disposal and the shallows were thick with rubbish and sewage.,0
66," or the smell of the vast contrast between rich and poor,",0
67, and despite the torrential downpour along the appallingly maintained main highway to Ajanta we were ready to make our own minds up to which we preferred.,0
68, it’s clean and it has the most amazing view.,1
69, I buy a can and fill up the hot spring water which smells like sulphur.,0
70, A shaktipeeth is where the organs of the goddess sati fell.,1
71, Lord shiv’s consort sati went to the yajna organized by her father against the willingness of lord shiv.,0
72, and wherever her organ fell a shaktipeeth arose.,0
73," the clean blue water,",0
74,Just a pinch of the rubbish by the railway tracks.,1
75, smells and heat all at once.,1
76, I don’t think we will ever forget some of the sad things we have seen here from babies crawling through the rubbish to a guy with a severed foot covered in flies just sitting on the street seemingly waiting for the end.,0
77," Pune is green and clean and still developing,",1
78, It was awful dirty small room for outrageous price as the owner could see how desperate we were.,0
79,have and eat from dirty plates with their hands.,0
80," To me it just seems dirty and wrong,",1
81, and the littering is plain lazy.,1
82," It’s advertised on the city tours etc as a place to go but it’s littered with homeless people and plastic bottles,",0
83, We will be assigned random tasks through out our stay here but for today we just have to clean up our rooms.,1
84, I eventually cleaned my plate that looked as if it had been licked clean and headed over to our main building were we were to do introductions.,0
85, and cockroach intrusion.,0
86, I may blend in with this shirt but it restricts my movements just a smidge and well is still dirty from the last time I wore it.,0
87,Karma yoga time was next and I wish I had been on tea so I could you know work out but a las I was not so instead I was assigned to clean the main hall.,0
88, mop and clean outside.,1
89,As the cleaning crew finished up the room the bell rang and we made our way over.,0
