,Review,Rating
0,"The Agumbe-Udupi road was closed for vehicles,",0
1, I got a lift down this road to the village of Someshwara which is on the bottom end of the wildlife reserve (9km from Agumbe).,1
2, There are trains from Udupi to Mumbai but all seats were booked for the next couple of days.,0
3,"In Ankola I stayed at the Radha Krishna Lodge which is across the road from the bus station and had a relatively amusing name,",1
4,The nearest train station to my hotel was the Sandhurst Road Station.,1
5, Sewri Station is just four stops along from the Sandhurst Road Station - the ticket costs just five rupees - and once there you just cross the tracks and find one of the roads heading east.,1
6," There's an actual road-crossing at the station from which you just keep walking until you hit a T-junction (and then turn right) but I followed some other local people across the tracks themselves and went along a smaller road,",1
7,To fill in the day I took a taxi from by the train station to the Byculla Zoo which was not what I was expecting from a zoo in Mumbai.,0
8, which is an hour south by train so you need to start early.,0
9," I got to the Sandhurst Road Station at 6am,",0
10, and the ticket guy told me that train coming into the station right now goes to Panvel.,0
11," I had to go all the way back to Sandhurst Road Station,",0
12, to wait for the next train which really went to Panvel.,0
13,30am I was only just leaving (again) Sandhurst Road at that time.,0
14, it gives a bird eye view of the building on one hand and the look of adjacent city roads on the other hand.,1
15," caught a night bus straight after a journey from somewhere else during the day,",0
16," I don't think I have ever seen so many homeless people; it got to the point where I had to wheel my backpack on the road because there would have been too many sleeping homeless people - and at that time of the morning,",0
17," Mumbai's architectural highlights include the old Victoria train station - much more ornate than its London namesake - now called the Chhatrapati Shivaji Terminus,",1
18, We took a rickshaw to Andheri train station.,0
19, We watched the life there for a while before taking our train back to Andheri and then the taxi to the airport.,0
20," a """"fun"""" journey back home started.",0
21," and even when I realised thanks to transport connections that it sorta wasn't,",0
22, I was thus left completely at the mercy of a tuk-tuk driver with the bus having dropped me on a road on the outskirts of Ahmedabad.,0
23, dusty road where I would have to wait a further hour and a half.,0
24, before we somehow managed to squeeze eight people including all our luggage into a tuk-tuk for a short ride up the road to our actual bus.,1
25," Indian roads and the relative age of the bus ensured a bumpy,",1
26, The only problem was that I hadn't booked any transport there - I was going to catch a bus to Aurangabad and rely on a private bus company to have space in one of their overnight buses going to Mumbai (which I was fairly confident one of them would).,1
27, I could even possibly catch a same-day train in the afternoon.,0
28," train station and private bus companies are all within a square kilometre in Aurangabad which will make things easier - I don't usually leave things up to chance like this but like I said at the start of this entry,",0
29," I decide to walk to the train station,",0
30, I had almost certainly missed the same-day train to Mumbai and it would have been by far the most comfortable way to get to Mumbai and I was a little annoyed at myself that I somehow missed booking this connection.,0
31, I decided to give up - I wasn't likely to get a space on board the trains that night and I was getting sick of standing in that queue.,0
32,Leaving the train station I rock up to the first travel agency that I come to and book a sleeper bus to Mumbai.,1
33,The first destination was Lonavala and the to journey was an overnight one.,0
34, We kept chatting through the journey trying to fill in the missing pieces after we had parted post 2nd year Pre-University completion.,1
35, Umesh and Safal went to get our XUV (booked through Zoom cars) which would be our mode of transport for the next 3 days.,1
36, On the way we stopped along the highway so that others could have breakfast and also bought some supplies.,1
37, a hotel away from the main roads and at a pretty calm location.,0
38, was all ready to train for the Olympics.,0
39, While returning we caught a glimpse of the toy train at the railway station.,1
40, we met at the Lingampally station to catch the train to Karjat.,1
41,met the trek co-ordinators and were told that we did not have enough seats in the train and would have to adjust with a few RAC's.,1
42, This was not unexpected as it is not easy to book train tickets and a few others from the trek group were also in a similar situation.,1
43,That ended most of the action in our trip and the rest of it was just the usual wait for the train and then back to Hyderabad after a weekend well spent.,0
44, I fell asleep on the journey to work again… I don’t think I’m eating enough on this new exercise regime but it’s hard being away in hotels.,1
45, I really enjoyed sitting in the office as Mumbai’s famous commuter trains could be heard rumbling past… (and I could see them if I looked out the window at the right time).,1
46, I’ve been told that if you stand 5 metres away from the door you won’t have to walk onto the train… you just get kind of carried in by the crowd.,0
47, They were massive but I wasn’t quick enough to get a picture (I got some later on the journey to Nashik because we followed them for miles).,0
48," It was really good to catch up with Jane and Sharon and the journey was interesting,",0
49,"We arrived at the Sula Vineyards which looked pretty hectic and were diverted 3KM down the road to Beyond By Sula,",0
50, The road was a bit rough and bumpy but when we arrived it was definitely not rough.,0
51," I missed most of the journey because I was asleep,",0
52, The train station is in the top 10 things to do!,0
53," Luckily as we were discussing the prices etc a bloke from the street popped his head through the door and told us of a place down the road with a double for 700rs,",1
54," even been to the train station in Pune,",0
55,While wondering around Mumbai waiting for the train we stumbled across a shop selling chocolate hobnobs!,1
56," Surprisingly this shabby train with dirty windows and toilet rated highly on the India railways survey,",0
57,"We worked out from the timetable that it would be better to get off the train at the 2nd Goa station,",0
58,"Visiting the caves involved a long car journey of 2 hours each way,",1
59, on the long distance roads at speed it can be quite scary.,0
60,he paintings and carvings of Buddha in the Ajanta caves were spectacular and worth the long journey through the cotton and vegetable farming villages.,1
61, The entire stretch of the road next to the sea that leads to Marine drive & Chowpatty is on a steam all night.,1
62,The Bandra-Worli Sea link that leads to Haji Ali & Carter Road is a master piece and is best viewed at night.,1
63, Carter Road is a great place to hang out & eat or to just sit & watch the sea come & go!,0
64, curvy road with deep valleys & numerous blind spots & sharp turns.,0
65," the roads are well-made,",0
66,It is definitely more about the journey than the destination itself!,0
67," Venture south via metro & train to visit a couple of art galleries,",1
68," jump off on the return train to spend an hour visiting the City's vast outdoor laundry at dobi Ghat,",1
69, finish the evening with a decent feed and a kingfisher before catching my night train to south Goa.,1
70," with no cheapy huts available I enjoy a swim and a fish lunch before hitching over the new highway bridge to Assolna then bus to the little fishing village of Betul,",1
71," 14/02/16 catch a train to Gorkana in Karnataka,",0
72," spend the next day on a bicycle visiting the local beaches of om & Kudli before catching an evening train back to margoa,",1
73,"Overnight on the train we entered a new state,",0
74, We made an early start and took the road to Ajanta.,0
75,took a rickshaw to Andheri train station (it was just a short ride away).,0
76, From here we took a local train to the Churchgate Station in downtown Mumbai.,1
77, We were happy that is was sunday - the train was only half full and the 30 minute ride very relaxing.,1
78, From the train station we walked to the Oval Maden.,0
79, We walked along the walkway and later took the train back to Andheri.,0
80, had again a yummy breakfast and then took a train north to Borivali.,0
81," From the train station in Borivali,",0
82, After 2 hours enjoying the peace it was time to take the ferry and train back to Andheri.,1
83, From the train station in Andheri Nina went directly again to the ISKCON Temple for a final aarti in India and some nice food.,1
84, Furtheron we went over the Victoria Bridge to the Sundar Narayan Temple and than to the MG Road area with lot of shops and stall everywhere.,0
85, Going with public transport from Bijapur to Aurangabad is not common (needless to say that a Lonely Planet not even thinks about such an option).,0
86, By train we left Bijapur around sunset.,0
87,"After doing few short road trips around Pune,",0
88, it was time to do one long road trip.,0
89, let's plan for this road trip.,0
90, I booked train tickets for my parents in such a way that they would leave at least 2 hrs before me.,1
91,Road condition here is very bad.,0
92, The road condition should be better for a place of such significance.,0
93, Since it was a function many guest who attended the function came to know about my road trip.,1
94,"My first road trip,",0
95," a journey which made me realize how much I love being on the road,",0
96, The hotel had trained her to be a driver giving her the chance for a decent paid job.,1
97," Abode Hotel have links with a local Blind Hospital where they train blind and partially sighted women to be masseuses,",1
98,So my brief but wonderful stay in Mumbai has now ended and I’m currently sitting in my hotel lobby waiting to get an overnight train to Goa tonight.,1
99," Case in point: a sign posted at one of the last stops we made on the journey back to Pune—""""Save Earth - Save Water - Use Disposable""""—say what?",1
100, We knew that it would be a good drive with good roads and greenery but didn't expect to land up in a rare taken road with the whole tapola lake just for ourselves.,0
101, We did see them all from a distance though and did try to drive until Pavana- but the road was atrocious and returned when we were 3 km away from the lake.,1
102, The drive to work in the morning was probably only a couple of kms but it would take 30-45 minutes due to the bad roads and traffic congestion.,0
103," We took a train to South Mumbai,",0
104, Taking the train is an adventure on its own.,0
105, even when the train is moving.,0
106, an average of 10 people die every day on the trains in and around Mumbai.,0
107, We arrived at the station and went down on the platform just when a train was leaving.,0
108, I had to tell him quickly to move while the train already started to move and I had to run a little bit and jump on board!,1
109, The tour finished at the main office of the company from where we were brought back to the train station.,1
110, I wanted to travel by train but the trains do not run every day.,0
111, The 4-lane Pune – Solapur Highway is newly built and is in good condition.,1
112," who is a trained in music,",0
113,Fantastic road trip to Dive Agar from Pune by my all-time favorite Ford Fiesta 1.,1
114, we took outer road which goes parallel to IT cos road of Phase 3.,1
115, First stop to tank up the fuel off course out of corporation limits to save some bucks and started again with full energy to explore Hinjewadi – Pirangut road and then grand Tamhini.,1
116,roads being repaired and to my little surprise roads are now really made like national highways.,0
117,"We took left just after leaving Goa Mumbai highway in Mangaon – HP Petrol pump is the landmark before which you should take left,",0
118,My red Fiesta also got a good rest and was ready to drive thru sea shore roads to march towards Srivardhan and then Dive Agar.,1
119," there are two roads to Dive Agar,",1
120," First phase of road is again bad and rough,",0
121, but from Srivardhan about 10Kms of patch is coastal road and is awesome.,0
122, To give you a glimpse of chat with vendor about Mangaon – It’s a small emerging town of Raigad district about 190 Kms from Mumbai and 112 Kms from Pune located on Mumbai – Goa Highway and crucial station for Konkan railway.,0
123,This road trip gave confidence in driving my Fiesta in rough and hilly roads – next is the plan for Coastal Karnataka road trip.,0
124," On the journey back on the last day in Mumbai for this trip,",0
125, roads became better and you see some dams on your way!,1
126, Most of the sights are within walking distance or easily reached by train (the station is close by).,0
127, We passed a small slum area and the Mahalaxmi racecourse till we reached Mahalaxmi train station.,0
128," As we were at the train station,",0
129, we took the train down south to the Marine Lines Train Station.,0
130, As we got tired of the bustling markets and the crowds of people we took a train at the Masjid Train Station to the famous Chhatrapati Shivaji Terminus (Victoria Station).,1
131, For sunset we walked back to the Chowpatty before we took a train from the Churchgate Train Station back to the hotel.,0
132,"we travelled down to the Churchgate Train Station and walked to Colaba,",0
133," It was a very easy journey that cost 60 rupees each,",1
134, Markus will join me for the last days of the treatment and after we will go on the road together for another 3 weeks.,1
135, The journey was about 30 minutes in rush hour and finally it cost me 200 IR in total.,1
136," Upon reaching the train station,",0
137, I even thought of asking the ticketing staff to downgrade my ticket to its original class but I figured out that it wouldn't be possible because the train was full.,1
138," The Deccan Queen express is Indian railway's one of the most prestigious trains - first chugged out on June 1st,",1
139," the train departed on time at 5:10PM however,",0
140, the train didn't even notch up to 90 KMPH for most of the time except at some places where it did cross 100 KMPH mark briefly.,1
141," The train was running with a delay of about 30 minutes as a result of couple of long unscheduled stops however,",0
142, I boarded a connecting train bound for Satara - a distance of 145 KM.,1
143, I then board yet another connecting train bound of Adarki - a distance of 37 KM.,0
144,I jumped off the train as soon as the train reached Adarki and went to a 'waiting hall' for a much needed sleep.,0
