,Review,Rating
0," showing it how noise is made when it puts its paw on the keys,",0
1, A huge percentage of the population don't even have any sort of bank cards.,1
2,The sole reason I wanted to visit Karnala was because four-horned antelope (chousingha) are found here.,0
3, I think the Indian Mammal Field Guide includes these particular langurs as within the range of black-footed grey langurs (that author doesn't recognise the Southern Plains species) but they look very different.,1
4,beautifully maintained.,0
5, it gives a bird eye view of the building on one hand and the look of adjacent city roads on the other hand.,0
6," I just wish I felt as clean as my sleeper having for the second time in a row,",1
7,The facade of Mumbai's beautiful CST station.,0
8, you're not always dodging motorbikes and there is significantly less noise than any other place I have been to in India.,0
9, It was so unexpected with Mumbai having a population of some 21 million inhabitants.,0
10,Perhaps more annoying than the pollution however has been dealing with some of the locals.,0
11,"Cricketers play on the green field of the Oval Maidan,",1
12," he has chosen to give without expecting anything in return and was at peace with that; because even if he didn't receive anything back,",1
13," Marine Drive - as well as around the Oval Maidan - is full of beautiful art-deco buildings,",1
14," The Arabian Sea is far too polluted to go for a swim unfortunately but nevertheless this was the first time I had set foot on a beach since I was in Odessa,",1
15,"Not far from the beach is Kotachiwadi,",0
16, a peaceful hamlet of two-storey wooden mansion blocks that may have been built in the 19th century.,0
17, It was a pocket of tranquillity from the noise and chaos just outside and gives an insight into what life used to be like in Mumbai back in the day.,0
18,remember watching live broadcasts of test cricket matches from India as a kid and remembering how crazy and fanatical the crowds were - for test matches no less!,1
19," although the Indian crowd are amazingly passionate and noisy - sometimes putting the English batsmen under tremendous pressure when they were going through a tricky spell,",1
20,"With 60% of Mumbai's population - so that's 12 million people - living in slums,",0
21, This becomes apparent when we pass a filthy canal full of sewage and pollution that goes straight into the Arabian Sea.,1
22, there are just 700 toilets for half a million people that are only cleaned weekly.,0
23, They did provide some OK views over the city though.,0
24, proper umpires and everything; but all round were rogue games of cricket and football more than just encroaching on the field of play.,1
25," for a bit of a break from 'real' India as I head for the western beaches of Goa and all of the Westerners on holiday there,",1
26," After the peaceful and relaxing time in Goa,",0
27, it was to hard to dive into the noise and pollution of Mumbai.,0
28, It is a beautiful temple and we love going there.,0
29, It is a super peaceful place in the middle of the oldest part of Mumbai.,0
30, hectic - but inside it is quiet and peaceful.,0
31, we tried to be relaxed and walked to the Aeroflot check in counter.,0
32, So finally we relaxed and went for a last chai to calm down.,0
33, I reckon that India has the worst pollution I have ever seen.,0
34," shit or smoke coming off a burning mountain of trash,",1
35, I can definitely say that Indian traffic jams and the craziness of driving are on another level.,0
36," had an interesting horn that played a short,",0
37," The panoramic view from the lookout down onto the caves is magnificent as is the underrated natural scenery of steep cliffs,",1
38, waterfalls and plateaus.,0
39," clean and welcoming sanctuary for a weary traveller,",1
40,I needed to eat something before getting on the bus so I made my way through the chaos with all my shit across the road.,1
41, The lake is best viewed from below during sunset and so it was then time to trek down.,1
42," The walk was serene and beautiful and I was able to find Brahmini ducks,",1
43, The panoramic view of the lake from the top was no less picturesque.,1
44, freshened up and went out to photograph the beautiful garden of the hotel we were staying at.,1
45, One of the caves had a good place to rest where we all sat down and relaxed (Everyone sat as if expecting someone to serve food but unfortunately that did not happen).,1
46,Lonar lake is an extremely beautiful place which is a must visit for any traveler.,0
47, The sunset on the lake is a view one would cherish.,1
48, The beautifully crafted art displays our rich heritage.,1
49, a hotel away from the main roads and at a pretty calm location.,0
50, They were Buddhist rock cut caves and one of them specifically had a beautiful shrine at the end of a passageway surrounded by sculpted columns.,1
51, Revenir holidays had a pretty good swimming pool (though not very clean still good enough) and we took our time there to make full use of the facility.,1
52, But the place had a very beautiful garden and we made full use of that taking quite a few photos.,0
53, That rule has gone a long way in keeping the place pollution free and maintaining the forest in its original state.,1
54, Then we started to check off all the view points found at Matheran.,0
55, The view points offer stunning views of the hills and cities of Maharashtra.,0
56, First up was Khandala view point which was empty waiting for someone to visit it.,0
57, From him we realized that Louisa view point (one of the very famous ones) was almost right opposite to us on the other side.,1
58," On the way to our next view point,",0
59, I turned and saw one of the most beautiful panoramic view I've ever seen.,1
60," We covered few other view points one by one including the echo point (as the name suggests you can shout and hear your echo shout back at you),",1
61, one tree hill (one tree was prominent at the view point) and Charlotte lake.,1
62, We even ate a few ice golas at one of the view points which tasted awesome in the heat.,1
63, provides a very picturesque view from the top.,1
64, We bid farewell to the beautiful Matheran and then returned to Lonavala.,1
65, The place was very clean and the idols were very beautifully crafted.,1
66," Though the place would be even more beautiful during monsoon season,",1
67, Lonavala has become pretty crowded with more and more tourists while Matheran has been able to maintain a pollution free forest like environment.,1
68, There was also supposed to be a waterfall which had gone missing due to lack of rainfall with only a trickle of water falling down from the top.,0
69,"The trek was pretty scenic even in the heat,",1
70, The fort was beautiful and peaceful with a lot of greenery around even at this time of the year.,0
71, We were able to see a very picturesque view of the Ulhas river surrounded by the hills with the sun rising from its sides.,1
72,Rajmachi was a good experience and another place ticked off the list of beautiful places in India.,1
73, The trek though not very tough was pretty tiring due to the heat and I am guessing you would find a few waterfalls here and there too during monsoons.,1
74, but it took 40 because of Mumbai’s air traffic control.,0
75, the gym guy was helpful again but trying to get me to change to a new programme and I was like no… I am happy with this one and as I’m only here for another day I’m not sure your one will really be helpful to me… I arrived back in the room to get ready for work to find the attendant about to clean it… I asked him to wait 30 minutes until I left.,1
76, There were nice views though and we saw some really old classic trains.,1
77, with an infinity pool and nice views over the vineyards and into the valley below.,1
78, Sharon and I were sharing and after a quiet lunch with a bottle of Sula Brut (the fizz) we settled by the pool.,1
79," long beach at Candolin was wonderful,",0
80," with beautiful warm sea,",1
81," shacks all along the beach for beers at sunset,",1
82," buses crowded with hot passengers,",1
83," Mix in the local population using the street as their workshop to make things,",1
84,he paintings and carvings of Buddha in the Ajanta caves were spectacular and worth the long journey through the cotton and vegetable farming villages.,1
85," a quiet little café,",0
86, is best for people wanting some peace & silence.,0
87,The Bandra-Worli Sea link that leads to Haji Ali & Carter Road is a master piece and is best viewed at night.,1
88,But ‘Real Mumbai’ is best viewed & understood on its slow local or in its ‘kali-peelies’ (taxis / local cabs).,0
89,Malshej Ghatis a mountain pass nestled in the towering rough hills of the Western Ghats.,1
90, The mountain pass is about 150 KM from Mumbai & 130 KM from Pune.,0
91, The continuous elevated crest of mountains and hills offer breathtaking view of nature.,1
92,"Malshej offers a striking view of the valley,",0
93, which is also a great place to stay & spend a relaxed weekend.,1
94, waterfalls and exotic flamingoes.,1
95, a little crowded but a bed none the less.,0
96, bakeries & impressive wide spread recycling operations situated above and below crowded homes.,1
97,"west side or queens necklace"""" outlooking the polluted ocean,",1
98," via a connecting bus reach the beach of Benaulim,",1
99," find a beach hut for 300 rupees and enjoy the remainder of the day enjoying the seaside bliss,",0
100," 11/02/16 I casually move on by bus to the next line of beach spots of cavelossim @ morbor,",1
101," settle at """"cupids heaven for 400 inr and enjoy another day swimming,",1
102," 13/02/16 grab a scooter for the day to see surrounding beaches; Cola,",0
103," spend the next day on a bicycle visiting the local beaches of om & Kudli before catching an evening train back to margoa,",0
104, We drive up to Malabar hill for the view down over the beach and marine drive.,0
105,The visit to Elephanta Island was a relaxing way to start the visit to Mumbai.,1
106, but it was very smoggy so there was no view of the coastline.,1
107, The air pollution was a news item.,0
108, It has been made worse by a fire at a rubbish dump.,0
109, It had a beautiful old Banyan tree next to it.,0
110, clean and friendly hotel.,1
111, Finally we took a rickshaw and went to the Juhu Beach (which is close to the hotel).,1
112, It was nice to walk along the beach in the late afternoon sun and we enjoyed being at the arabian sea again.,1
113, After enjoying our time on the beach we wen to the ISKCON Temple in Juhu.,0
114, After 2 hours enjoying the peace it was time to take the ferry and train back to Andheri.,0
115, clean and peaceful place.,0
116, we will start relaxed and put some beach time in the end.,0
117,From the shabby and chaotic bus terminal in Aurangabad we tried to get a local bus to Shirdi.,1
118, Nina was just relaxed when she finally could share 2 seats with some children - half of a seat was better than standing.,1
119," The driver quickly """"cleaned"""" it with a little bit of water.",0
120, We had a soup and relaxed a little bit.,0
121, It was very nice and we could feel a very strong and peaceful atmosphere the closer we came to the Sai Baba Murthi in the front.,1
122," which is a really beautiful Kali Temple and had a nice dinner at our hotel,",0
123, We got a darshan and were even allowed to sit in a quiet place to meditate as long as we wanted.,1
124," Just the beautiful building,",0
125,After a wonderful night in a clean bed and a quiet room we had breakfast in our room (strange for us but popular in India - and it was included and really tasty).,1
126, We went as far as the latests Jain Temples which were also beautiful but did not have the details of the other temples.,1
127,"Mahabaleshwar - a beautiful hill station located in the western ghats range,",1
128," It was such a beautiful massage and amazing to think that she couldn’t see me and was totally relying on the sense of touch to massage my body,",1
129, The island itself is very mountainous but at the harbour point it has a real beachy feel to it.,1
130," However luckily they didn’t manage to destroy all of the statues – you can still make out a lot of the original beautiful artwork,",1
131, Now after feeling very pampered I am looking forward to spending five days on a beach in Goa.,1
132," I wish I had my field notebook next to me as I write this,",1
133," field guides,",0
134, Really wishing I had my field notebook .,1
135, Add more trash and refuse to an already over-populated landscape?,0
136, Filled with mapro products all over and beautiful hills.,1
137, The view points were beautiful view of the valleys from different angels and the fort is a must see in spite of its 300+ steps.,1
138," as we were done with all the regular view point stuff,",1
139, The drive to work in the morning was probably only a couple of kms but it would take 30-45 minutes due to the bad roads and traffic congestion.,0
140, taxis and pedestrians; so much noise and constant honking!,0
141, On the right there were kids playing cricket but the field had a lot of garbage laying around.,1
142, A whole disorganized block of shacks and houses made of inadequate material and roofs full of plastic and other rubbish is what your eyes will be seeing when standing on that bridge.,0
143,Harihareshwar and Srivardhan are also small towns with beach and temples in line to Dive Agar down south.,1
144, I was driving at an average of 60 Kms per hour thru tamhini enchanting beautiful nature of Sahyadri hills.,1
145, From parking itself you can see splendid long beach having couple of water sports guys waiting for customers in scorching noon heat.,1
146, Harihareshwar gram panchyat has made good efforts to make beach and its surrounding look like Mumbai chowpati and have tried to maintain thru Modi’s swachta abhiyan campaign.,1
147, Temple over looks sea rock on one side and beach on other side.,1
148," There is a small ghat section from where you have sea on left and mountain on right,",1
149, there is a spot where there is a deep sea and beach on one side and ground level sea (right on your spot) with some fish catching jetties on other side.,1
150, Splendid view from where we took many snap shots.,1
151," Rooms were clean and hygienic,",0
152,went to beach without any gadgets with us as we all wanted to have fun in sea passing thru beautiful Roop Narayan Temple.,1
153," Beach from Pahunchar is 10 mins walk,",1
154,Dive Agar beach is one of the best beaches I have been to.,0
155, We have decided to visit this beach once every year to spend serene time here.,1
156, serene secluded beach – best for family.,1
157, Fortunately sky was clear and I first time saw soothing – peaceful sun being set in middle of Arabian Sea with no disturbance at all.,1
158," Next day plan was to wake up at 6AM dress up for beach photo shoot,",1
159," This was a plan with brisk walk to beach to keep my Fiesta clean,",0
160, neat and away from beach sand!,0
161,Cars are allowed on this beach along with horse and camel riders.,0
162, so you can go with accessories to seat and have serene morning on beach with food and beverages.,1
163, but we came back from beach drenched and tired at 11.,1
164,"Beach Road,",0
165, My Fiesta was ready with half tank full and wind shields clean from dust!,1
166,"Return route goes from Morba to Mangaon and then Tamhini – I was little heavy eyed and somnolent due to exhausting beach fun,",0
167, Again Tamhini is tamhini nothing can beat this beautiful nature here!,0
168, Planned already to visit this beautiful sahyadri nature again in monsoon.,0
169,and is now transformed to a relaxed and trendy development'.,0
170, An hour later we were still crawling through honking traffic when the driver told us it would cost 80 rupees to go over the Ravi Gandhi sea bridge.,1
171,we were parked under a motorway under construction with traffic passing us on both sides.,1
172, went for a delicious breakfast at a local cafe and were headed to chow patty beach to have a look.,0
173," but it was clean (and if you wish they clean daily),",1
174,a great view over the Mahalaxmi Dhobi Ghat.,0
175, chaotic and fascinating city.,0
176, As we got tired of the bustling markets and the crowds of people we took a train at the Masjid Train Station to the famous Chhatrapati Shivaji Terminus (Victoria Station).,1
177, a beautiful piece of colonial architecture.,1
178, We loved the atmosphere and relaxed with a typical english tea in the afternoon.,1
179, Then we walked around the beautiful Taj Mahal Palace Hotel and went to the Gateaway of India.,0
180, We were left in peace at one of the busiest tourist spots in India!,1
181, It was peaceful and a great way to end our visit here!,0
182, But the temples around the tank are really peaceful and older and the atmosphere at night was wonderful.,1
183, space or quiet etc.,0
184, but not as clean as I would like to feel!,0
185, lights and beautiful drapes.,0
186," As it was quiet at the temple,",0
187, Juhu beach was really pleasant.,0
188,views of some parts of this mega city and went for a little walk.,0
189, The temple is really beautiful with great murthis (statues of the gods).,1
190, and it is also a paradise for trekkers as it is surrounded by the Western ghats (the Sahyadri mountain range).,1
191, The new broad gauge line is laid upon the old MG alignment which is why there are a lot of spectacular curves and steep gradients.,1
192, has a very few stoppages and is clean and well maintained.,1
193,"The return journey to Mumbai was awful because I had boarded a super crowded train and for over 7 hours I couldn't move an inch as a result suffered from severe back pain and muscle cramps,",0
194, and complete chaos yet everybody reached their destination on time - the train was not even delayed by a minute.,0
195," This is the beauty of the Indian railways,",0
196, what really makes a bike ride enjoyable is a scenic route and cool breeze.,0
197," just a beautiful place in itself,",0
198," What a beautiful sight"""",",0
199," The beauty of the place got me so intrigued,",0
200, Somehow it works and at least traffic keeps moving instead of having to stop at crossings!,1
201, the Sassoon library and the massive crowded railway station built to resemble St Pancras.,1
202,we started to a see the ocean and beach and palm trees.,1
203, but we found out after that it was very hard to clean and wipe off.,0
204,That said we continued to the other side which was more crowded and on the way to the main town.,1
205,It was really hot so some people went to beach others napped and played games.,0
206, It was a partly cloudy day so the sun wasn't too bad and the river was calm and not too wild.,0
207, but for the most parts it was relaxing and fun.,0
208," drying long and beautiful saris,",0
209,We got back around 3 o'clock and chilled for the rest of the afternoon and evening in the beach and hotel.,1
210,"I go for a wonder to the beach area,",0
211, At places there are few rocks which add to the beauty of green.,1
212, I'm sure it must be more beautiful in monsoon.,1
213, There was a small waterfall on the way.,0
214," So it was a very peaceful darshan,",0
215, Bhimasankar has abundant natural beauty; you can spend an entire day here exploring the place.,1
216,Hotel Oberoi is a very basic clean hotel which seems to have started only couple of years ago.,1
217,was very calming and beautiful.,0
218, where he started his 'Quiet India Movement'.,0
219, The traffic in Mumbai gets crazy after 6pm.,0
220, We then had tea and set off for the hike up the mountain to the temple.,1
221," then further up the mountain to another temple,",0
222," So when he brings out the peace pipe even though I am already baked,",0
223, Hey I say let's get the Palestinians and Israelis in a room with some edibles and some good ganja and then let them hash out a peace agreement.,0
224, At the end of the now almost 2 hour drive back due to traffic I was no longer feeling the effects.,0
225, a beauty pageant.,0
226,Pass the peace pipe.,0
227, India has almost 4 times the population of the U.,0
228,33 million views in 24 hours - a new record.,0
229, Tout n'est que calme et volupté comme dirai Baudelaire.,1
230," Les populations indiennes non sont en effet pas autorisées à """"exhiber"""" leurs corps dans les lieux publics.",1
231,"Clean rooms,",0
232, we spent time relaxing our tired legs and overwhelmed minds.,1
233," the litter and rubbish everywhere,",0
234," horns honking,",0
235," through massive traffic (similar to Bangkok's traffic,",0
236," The market was crowded; we almost couldn't pass,",0
237, many photos of beautiful children on that walk.,0
238," We had just stopped for our picnic breakfast when there was a noise that produced much excitement amongst the guide,",1
239, digging a hole and then making a loud snuffling noise as they suck in all the termites.,0
240, and sit glumly in a bamboo hut with cloying mud on our feet and mosquitoes buzzing around.,1
241, The train journey was lovely the country side was very hilly we seemed to be going up into the mountains passing through great valleys.,0
242, The Mumbai train station- the Victoria Terminus - has got to be one of the most beautiful train station the world and looks more like a Gothic palace than a train station.,1
243,We cleaned up and went out to explore the city.,0
244, Colaba is vibrant area of old Mumbai where all the old beautiful buildings are.,1
245, I had my sandals cleaned and fixed by a shoe shine guy.,0
246,Breakfast on the roof with a view of the city and the local newspaper is a great way to start the day.,0
247," The floors were tiled with beautiful Victorian tiles and whole house was set up with pictures,",1
248,The best thing about the Palolem beach is that they are not allowed to cut down any trees especially coconut trees.,1
249," I have to say the tidal line is also incredibly clean and one I find remarkable as the rest of the beach,",1
250, It might all change when the monsoon comes and all the rubbish from the fishing boats comes floating in and all the rubbish on the land gets washed into the sea.,1
251, Even though there are lots of shops at the beach we could not find anyone selling sd cards until we had bought one in Chaudi typical!,1
252, After dinner we walked back along the beach and ended up chatting for hours on his verandah.,1
253,It doesn’t matter how long you have at the beach it all goes pretty fast.,0
254, I had walked every morning the length of the beach bar one.,0
255,the view was amazing.,0
256,Today my mother and I had breakfast as usual and took a walk around the smaller areas around the hotel to drop off some dry cleaning and ended up in a very residential area.,1
257, Just get inside the main temple and sit there for some time; the atmosphere will make you feel relaxed and refreshed.,1
258," Beautiful weather,",0
259,Both sides were extremely crowded by the students and local visitors.,0
260, The location of this property is hard to beat and the views were incredible.,1
261, Delhi also has a beautiful airport.,0
262,Traffic in India is an experience unlike any other.,0
263, You have to add an extra 45-60 minutes onto every drive because of the traffic factor.,1
264, We stayed in the north in Anjuna and travelled out regularly to Baga and Vagator which are our favourite places as the beaches are gorgeous and the nightlife and hostel life is busy.,1
265, I really didn't realise how much viewing extreme inequality affects me.,1
266," flowers and lots of families together on holiday have been wonderful to see and on Sunday evening we went to the beach and saw all of this such as lanterns being set off,",1
267, a beautiful lit up boulevard which stretches all along the bay.,1
268," the beach was completely packed with families playing games,",1
269," much like you would expect a beach to be during the day,",0
270, Chowpatty beach also seems to be a popular place for waste disposal and the shallows were thick with rubbish and sewage.,0
271," beautifully decorated with colourful lights,",1
272," It was the most beautiful temple I have ever seen and I would have liked to have stayed there longer,",0
273," The view from this park was breath-taking,",0
274," you can see the spectacular view of chowpatty beach,",1
275," It is a huge beautiful building,",0
276," I didn’t interfere with the quiet chaos of the roads,",0
277," or the sweet stinging of mosquito bites,",1
278,"mountains or the eye watering burn of spices,",0
279,Sinhagad: to say that the mountains at Sinhagad were majestic is an understatement of mammoth proportions.,1
280," the mountains at Sinhagad,",0
281," Things I would not recommend: walking around in the evening dusk without mosquito repellent,",0
282, which is in the mountains and roughly a three hour drive from Andheri.,0
283," It's such a beautiful place,",0
284, it never bothers me because the views along the way are spectacular.,0
285, and I could see the dark green mountains in the distance.,0
286," winding mountain road the views became increasingly impressive: mist and clouds hanging low over the lush green peaks,",1
287, I looked out of the car window to see the spectacular view of Mumbai far below.,1
288," both views are amazing,",0
289,) but no picture will do that view justice - it's one of the most beautiful landscapes I have ever seen.,1
290,") and the noise of hundreds of car engines and horns- at first I thought that this raucous must have meant that there was some sort of accident or demonstration happening,",0
291, The traffic is absolutely crazy!,0
292, with very little attention being paid to lanes or traffic lights.,1
293,"horns all the time and while initially I found this intimidating and aggressive,",0
294," Children walking around in traffic jams begging for money,",1
295," Endless rows of stalls selling all kinds of fruits and vegetables and strings of beautiful flowers; huge,",1
296," It's a chaotic place,",0
297," Mumbai was again fairly quiet in regards to traffic,",1
298, an hour without any real traffic seemed excessive?,1
299, we couldn’t help but stand and admire the view of this incredible place.,1
300, we were a little worried that this place would be bombarded with hundreds of other tourists taking away the calm and serenity in each of the caves.,0
301," after another great day of some spectacular sights,",1
302, We were also surprised by the faux tiger print window seating that we had which would have been a great perk had the views not been of the shabby hotel next door and various other roofs of our neighbours.,1
303,"The journey to Ellora from Aurangabad is quite a scenic one once you get out from the city,",0
304, we started to giggle like school kids on a field trip hoping the ‘lady’ didn’t twig what we were laughing at.,1
305, really looking forward to a beautiful trip.,1
306,The Pinjore garden has beautiful fountains.,0
307, it’s clean and it has the most amazing view.,1
308,The clear sky gives us a view of the innumerable stars.,1
309,The drive to Rotang pass is scary but once you go up you find a beautiful mountainous world.,0
310, There are a few breathtaking waterfalls on the way .,1
311,The waterfalls in terms of length are big.,1
312, The waterfalls are actually streams or tributaries falling over cliffs or heights.,1
313,We spot the beas nala (it’s a waterfall) where apparently they sat and wrote the Mahabharat.,1
314, The view makes the delicious food more delicious.,0
315, Since the castle / place is situated at a height the view is unbeatable.,1
316, The temple has a waterfall about 2 km away from it.,0
317, The waterfall has clear water.,0
318, The walk to the waterfall is like a mini trek.,1
319," it's just our own India and I am proud of it - the serene beauty of Maharashtra,",1
320," The dam looked really beautiful in pics posted on internet,",1
321," the beauty that is beyond explanation and I am sure,",0
322," complete peace and fresh air with 100% Oxygen,",0
323,"Ozar has a beautiful Ganesh temple,",1
324, we didn't find crowd at any of these places and that continuously kept me pleased!,1
325," Then came """"Randha waterfalls"""" and this was the first place on our journey where we saw a lots of people,",0
326, As we were admiring several waterfalls at this place the rain started and then never stopped for us till we started our journey back from Ratanwadi.,1
327," The views here are just breathtaking,",0
328, the views kept me distracting all the time.,0
329," the clean blue water,",1
330," interrupted by mountains at several places,",0
331," the full blown waterfalls originating from the left side and descending on to the right side through those lonely villages,",0
332,"I am going to live my life with Peace and Joy,",0
333,The Asanas and Pranayama were getting progressively more advanced each day and we really started to find ourselves relaxing into the meditation sessions.,0
334," calm and even a few pounds lighter,",0
335,"Jumping in a rickshaw bound for our hotel for the night in Nasik feeling chipper and calm with the world,",1
336, and live in Peace and Joy Forever’ although it was a start!,0
337, enjoying the views from our balcony of the infinity pool and grape vines below us with nothing but the birds singing and the sound of the hotels various water fountains breaking the silence.,1
338, The complimentary evening meal added to the relaxation factor for both of us as we ate so much that evening that both of us found it hard not to pass out there and then at the table.,0
339,Our spa treatment following a few glasses of wine was as could be expected and we were about as relaxed as we have been for some time now.,1
340,Just a pinch of the rubbish by the railway tracks.,0
341,"After our nice relaxing time in Goa,",0
342, we were bracing ourselves for the worst as our next stop was one of the most populated cities on the planet…Mumbai.,0
343, beggars and people that called the station there home.,0
344, and complete chaos; however none of this was anywhere to be seen.,0
345, This varied massively as you wandered around and it has everything from tenement blocks that are on the verge of collapse to beautiful neo-gothic buildings that are stunning.,1
346, I don’t think we will ever forget some of the sad things we have seen here from babies crawling through the rubbish to a guy with a severed foot covered in flies just sitting on the street seemingly waiting for the end.,1
347," They have these beautiful man made lakes,",0
348," Pune is green and clean and still developing,",0
349,Water very murky as we sailed into port this morning - everyone warned not to swim in any of the beaches around Mumbai.,1
