,Review,Rating
0," There were only waiting list seats available,",0
1,"In Ankola I stayed at the Radha Krishna Lodge which is across the road from the bus station and had a relatively amusing name,",1
2, upon arrival in the town I had to spend half an hour walking through the streets just trying to find an ATM that worked.,0
3, All the cheap hotels seemed to be closed for the night.,0
4, I drove around in a little taxi for a while looking for somewhere that was open.,1
5, One was 1600 rupees and had cockroaches literally just running about on the bed; the guy just shrugged when I pointed that out.,0
6, Eventually I ended up at a crappy place called the New Shalimar Hotel which was still too expensive (1000 rupees per night) but it was 3am by this time and I needed to sleep!,0
7, At least with this hotel I could pay for my stay with my credit card and they had WIFI.,1
8,The nearest train station to my hotel was the Sandhurst Road Station.,1
9,To fill in the day I took a taxi from by the train station to the Byculla Zoo which was not what I was expecting from a zoo in Mumbai.,1
10, water is not allowed into the zoo.,0
11," The taxi driver assured me he knew where it was,",1
12,That was when I'd had enough of being polite and told him to piss off.,1
13, to wait for the next train which really went to Panvel.,0
14," I tell them """"no way"""" and that they had done what any honest and righteous person should've done by returning it and that that is what all people should do as decent human beings,",0
15,I wasn't dropped off as close to my hotel as I was expecting but it was still walkable - and it was a walk that shocked me.,0
16,The hotel was pretty dirty and crusty and I'm sharing a dorm in it as it was the cheapest place I could find with a central location close to the sights.,1
17," The place still functions like a hotel however and has an army of porters and cleaners who cook you your complimentary breakfast,",1
18," the hotel nevertheless had a charm to it - with the chequered floors,",1
19,Indian hotel experience from the 50s.,0
20, has been comparatively expensive in India as they charge per item of clothing.,1
21,This iconic and historically significant hotel is India's second-most photographed monument after the mausoleum that it is named after.,1
22," It was built by a local industrialist after he was refused entry to a European hotel for """"being a native""""; it was the first hotel in the country to employ women; it housed freedom fighters free of charge during the struggle for independence; and it was where several were killed during the 2008 terrorist attacks.",1
23," you could tell that he was a bit different to anyone else trying to get something out of you; for a start he spoke excellent English which made it easier for him to engage you in normal conversation,",1
24, Perhaps it was easier for him this time as we both had a shared love of cricket.,0
25, There is a massive queue when we arrive at the ticket office but one of the stewards - who he seemed to know - said that it would be quicker for me to buy my tickets online before coming back to collect them.,1
26, Javed of course knows an internet cafe nearby (they're still a thing here in India) and I make sure he is looking away when I enter my card details; but I don't need to as he was already looking away.,1
27, The guy has already managed to save me a load of time and hassle.,0
28," He takes me to a nice-ish restaurant that is still fairly cheap and he recommend dishes to me as well as telling me that we could share one curry,",1
29, And he was right - one curry was definitely enough for the both of us.,1
30," I could tell he was steering me towards allowing him to take me on a tour of Mumbai; but when I decided to part ways after lunch,",1
31," each family normally has about a 10sqm room to live in; there would be a """"wet corner"""" for people to wash in but otherwise this one room smaller than the size of my bedroom back in London,",1
32," Sanitation is a major issue in the slums; in Dharavi,",0
33, full of hotels and corporate office towers.,1
34,We skipped the nearby Mahalaxmi Temple when we saw the queue for it; and the Hanging Gardens were a bit of disappointment - they were far from the Hanging Gardens Of Babylon that were considered one of the seven ancient wonders of the world.,1
35, they were charging ?300 for a bottle of Budweiser.,0
36, everyone manages to cooperate and get things done.,0
37, The year before we had found a great deal for a hotel in Andheri with free pick up at the airport.,0
38," The same hotel this time was too expansive,",0
39," If you ever chose to stay in Andheri,",0
40, And they charged us 460 Rupees!,0
41, An official taxi is not more than 200 Rupees.,0
42, it has tasty and safe food for really cheap prices and an excellent chai tea.,1
43, It was hard to get a taxi back.,0
44, The aircon was freezing cold.,1
