,Review,Rating
0,That was when I'd had enough of being polite and told him to piss off.,0
1," even in the evenings which have a lovely balmy feel,",0
2," The Chhatrapati Shivaji Maharaj Vastu Sangrahalaya Museum also boasts some stunning British architecture as well as some lovely gardens; the High Court is imposing but annoyingly hidden by trees; and the old Bombay University and its Rajabai Clock Tower reminded me of the gothic clock tower at my old university,",1
3, Perhaps it was easier for him this time as we both had a shared love of cricket.,1
4, Javed offered to walk me to the actual ticket office.,1
5," When I ask him why he was helping me and what he was getting out of it,",1
6," I offer to buy him lunch,",1
7, since the servings here were big.,0
8,"I offer to give him tickets to the cricket for the days I'm not going,",1
9, he was happy in the knowledge that he has been able to help someone and show off his city and country in the process.,1
10, It is a beautiful temple and we love going there.,1
11, It is about a 15 minute drive but kind of a different region and not all rickshaw drivers are willing to drive to a different part of town.,1
12, Some shops offer credit card payments.,1
13, we love this juice!,0
14, so they inofficially helped us.,0
15, We love it and sometimes we hate it.,1
16, The wait had served is purpose in killing time but there is only so much time one can absolutely waste.,1
17," clean and welcoming sanctuary for a weary traveller,",1
18, getting looks - and help - from surprised locals wondering what the hell a tourist was doing wondering the dusty streets of Aurangabad.,1
19,and friendly side of the local people which was really cool - more than one person approached me on my walk through the dusty streets to ask me where I was going and if I needed help.,1
20," I guess there is no way a supermarket chain can undercut the already rock-bottom prices offered by the many,",1
21, One of the caves had a good place to rest where we all sat down and relaxed (Everyone sat as if expecting someone to serve food but unfortunately that did not happen).,1
22, Before that we wanted to finish our lunch but could not find any place which served lunch at that time of the day.,0
23," Starting with soap bubbles followed by all kinds of jumps and poses,",1
24, The view points offer stunning views of the hills and cities of Maharashtra.,1
25, But undeterred all of us took our time helped along with the dense forest cover.,1
26, The first 2 hours resulted in just 1-2 rides post which we immediately course-corrected and upgraded our tickets to express ones which helped us arrogantly jump to the front of every queue.,1
27, the teams I visit are so kind and welcoming and look after me so well.,1
28," I got offered drinks on arrival,",1
29," I got help to get to my room,",0
30, The gym guy was very helpful and quite interested in what I was doing (a new regime Brian has got me into).,0
31, I had a really nice day with lovely people.,1
32, I’ve been told that if you stand 5 metres away from the door you won’t have to walk onto the train… you just get kind of carried in by the crowd.,1
33, My driver loved that… being involved in a call with the UK!,1
34, the gym guy was helpful again but trying to get me to change to a new programme and I was like no… I am happy with this one and as I’m only here for another day I’m not sure your one will really be helpful to me… I arrived back in the room to get ready for work to find the attendant about to clean it… I asked him to wait 30 minutes until I left.,1
35," We were overlooking the sea and had a lovely selection of sandwiches,",1
36, Then we went for a walk along the seafront which wasn’t as lovely as it could have been because it was so crowded.,1
37,The drive from the hotel back to the airport was really nice… it was coming into evening (my favourite time to be travelling) and we seemed to keep going in circles because we kept ending up at the seafront… but I think that’s just because of how Mumbai is located on a kind of peninsula.,1
38,Love and miss you all a lot.,0
39,I stayed in this area on my last trip at “Red shield guest house” or the salvation army as it's commonly known.,1
