" There are a small handful of cheap places to stay in Agumbe,"	
 As I was getting off the bus a pack of about ten of them charged past barking and snarling.	1
 but I couldn't find out much on cheap places to stay in Valparai - it all seems to be expensive estate lodges on the tea plantations.	0
 At the station there is a ticket office and queues of people buying tickets for their trains.	0
 Stupid internet and Lonely Planet.	1
" I asked if there were any cheap lodgings in Thirtalli,"	0
 Opposite the bus stand was a lodge which I don't know the name of but which only cost 250 rupees for a room (about NZ$5).	1
We had to leave our comfortable spot nestled in coffee country very early in the morning because we we had to drive through an area that was dealing with some disruptive protesting.	1
"com at a very cheap rate (Rs 1700) for halting the previous night,"	1
facilities having excellent view of the Seven hills.	1
 At the city outskirts both sides of the highway were decorated with well maintained gardens.	1
 there was no difficulty in driving.	1
 Thanks to those people who were maintaining this highway.	1
 I could maintain my speed of 100 to 120 Kms per hour even at night at ease.	1
 I hired an AC Cottage (Tariff Rs 2750/-).	1
 I noticed a cockroach in the Toilet-seat.	1
" I had to come out of the car and then noticed that the queue was more than a mile long,"	0
One important lesson of this journey was to feel the difficulties experienced by these drivers carrying goods inter-state.	0
 managing the queue of trucks and even directing those drivers.	0
 Moreover the road condition was exceedingly good and it was a comfortable drive.	0
 There was heavy police posting throughout my journey and good traffic management could be noticed everywhere.	1
" presently booking of these rooms are comparatively easier thru on-line facility (compared to booking of Guest House in Nagarhole Tiger Reserve which we visited last month,"	1
Toilet was clean with necessary facilities (even hot water also).	1
On the whole it was a nice arrangement and an ideal place for a nature lover to enjoy nature having the comfort of all basic facilities.	1
A memento shop was located near the Safari Ticket counter.	1
There was a private memento shop after crossing the Forest Check Post named Temple Tree Designs.	1
 hence we did not expect any luxury comfort or delicious menu which was not available there.	1
 Charging of Camera battery had become a bit difficult.	0
 Two big resorts namely â€œThe Jungle Innâ€ and â€œ Kings Sanctuaryâ€œ respectively could be seen here.	0
" Cauvery Forest Lodge â€“ 2 rooms of two beds each @ Rs 1600 per room,"	1
" Gangotri Forest Lodge â€“ 4 rooms of two beds each @ Rs 1000 per room,"	1
" Lodge Rent @ Rs 1000 per day for 2 days - Rs 2000,"	1
" Ticket charges were Rs 268 for two,"	1
" Rs 600 had to be paid for hiring the jeep,"	1
 Apprehending the probable loss of ticket charges I requested him for return or give us opportunity next day.	1
We reached the Wayanad Wildlife Sanctuary and there was no difficulty to board the Safari Jeep showing the tickets we purchased yesterday but could not utilise.	1
 Lot of boards erected by numerous hotels and resorts could be seen on the way.	1
 Charging of Camera battery had become a bit difficult.	1
 hence I did not expect any luxury comfort or delicious menu which were not available here.	0
) and I tried to make the most out of the time I spent in it but taking 2 hours to go and do a 15-minute food shop when itâ€™s 2km awayâ€¦ and 45 minutes to get to the gym when itâ€™s 1km away wasnâ€™t fun (I know I could walkâ€¦ and I did sometimesâ€¦ but not in the dark) and thatâ€™s on top of an already long working day.	0
" I felt no need to go and do any souvenir shopping (my photos are my souvenirs,"	1
I stayed up late Saturday night packingâ€¦ felt a bit wary of the apartment because of the electrical issues and whilst nothing had exploded there were still flashing lights and random things happening.	0
 There were large no of makeshift shops on the highway selling different varieties of mangos.	0
 but most of the shops were closed.	1
 Somehow we managed our hunger with some street food.	0
facilities at reasonable cost.	1
 I was short of liquid cash and thought of drawing the same from an ATM on the way.	1
 At last I could draw the required cash from an HDFC Bank ATM in the fourth attempt.	1
 Ferry charge was Rs 34/- per head.	0
The place was maintained by Vivekananda Kendra.	1
This was also a two lane road and moderately maintained except few places.	1
 This was a wide and well maintained road.	1
shops set up by local villagers selling tea and snacks.	1
 I was maintaining comfortable speed with increased caution remembering the horrific incident we had yesterday.	1
 They then helped me do my food shopping in Hypercity and carried it to Noor and the car for me!	1
" I missed Brian but it wasnâ€™t too bad although Usha had been far too efficient and washed things I didnâ€™t want her to,"	1
 I had to resort to takeaway a few timesâ€¦ but the good thing here is that you can order pretty much anything and much of it can be made healthy.	1
I had some issues to sort out at homeâ€¦ the hot water in my bedroom wasnâ€™t fixed all weekâ€¦ trying to find out some progress usually involved talking to three people trying to translate for each otherâ€¦ I figured in the end there was no point having the conversation unless Noor was present to effectively translate.	1
 I then tried to email my essay to myself as a back up to find the internet wasnâ€™t workingâ€¦ I figured it must be all part of the same connection.	0
 and my charity and house issues to sort out so the last push has been horrible.	0
" I felt terrible I had to send her off to work without breakfast on Mondayâ€¦ (as weâ€™d got back from Pondicherry so late the night before the shops were shut,"	0
â€ and he wouldnâ€™t let me because he said itâ€™s not a nice place to go because the men in the shops drink.	0
 Brian and I nearly had a domestic as he could see I was a bit pi**ed and I wouldnâ€™t tell him why (I didnâ€™t want to alert the driver to the situation) but when I managed to get the message across he said â€œMe tooâ€.	0
 He found a good dentist (one of the best dentists in the city is a short walk away from my apartmentâ€¦) and itâ€™s amazing how cheap everything was.	0
 Usha is very efficient but speaks limited English (so itâ€™s hard to explain what needs doing) and doesnâ€™t have a regular start time so sheâ€™s either waking him up or delaying any trips out.	1
Other eventful events of the week were a huge cockroach arriving in the apartment which thankfully Brian dealt with (he was willing to pick it up to put it outside!	1
 so big with nice shops (including Accessorize and The Body Shop) and lots to do.	0
) which is the least I can do after he came to Indiaâ€¦ something that Iâ€™m incredibly grateful and thankful to him for because itâ€™s made the move so much easierâ€¦ and more fun.	1
 but he remained steady although occasionally un-comfortable throughout the route.	1
" Small shop-keepers showcased various fruits like straw-berries,"	0
"MTDC Tourist Resort was located in a vast area,"	1
Otherwise the place was decent to stay and enjoy amidst nature.	1
Our cottage charge was Rs.	1
 There were horse-riding facilities to stroll nearby areas.	1
A cool and comfortable early morning.	1
 Another issue was not operating of Google Maps (due to not having AIRTEL connectivity).	1
This centuries old fort was still owned and maintained by ancestors of the Maratha rulers.	0
 Ropeway charge was Rs 250 per head.	1
"Here also we hired a guide (Charges Rs 200,"	1
 This fort was maintained by Archaeological Survey of India.	1
But the journey was not comfortable since she became un-well due to mild sun-stoke.	1
In Satara there was a small difficulty in finding out the link to NH 4.	0
 Doesnâ€™t matter as soon as you get the comfort you deserve.	0
 We selected â€œGrilled Macarelâ€ which were least costly along with other items.	1
 the noticeable thing was so many shops for tattoos.	1
 There were shops for hiring two-wheelers.	1
 Also lot of shops were selling light beach garments.	1
 That was not at all an issue for us.	1
Another noticeable feature was the cleanliness maintained inside the temple premises.	1
 But when the entry gate opened the entire crowd was managed in a very well-planned and disciplined manner.	1
 The whole show was skilfully managed by a DJ and his associates.	1
 After continuous enquiry for more than an hour we could trace a tyre shop in Panaji to fill Nitrogen.	1
 The shop-keeper advised me to go to one â€œGeeta Bekaryâ€ for tyre repair.	1
 but the amenities at the resorts were excellent.	1
The resort was located covering a vast land area.	1
 All of these rooms were spread throughout the resort area .	1
" It has got all modern facilities like Spa,"	1
" It was equipped with all modern facilities like AC,"	1
 There were few shops outside the station.	1
 Railway police maintain strict vigil to avoid any possibility of mishap at Dudhsagar.	1
 The temple was maintained by railways.	1
 After spending some more time when we returned to our resort it was almost dark.	1
 We were extremely disappointed and not getting the energy to continue our visit.	1
The localites in the tea shop (located opposite railway station) advised us to visit this temple.	0
 There were few shops at the entry gate and the shopkeeper advised to rush to the temple immediately.	1
On the way back to the resort we decided to finish our dinner.	1
"NH4A where the resort was situated and thru which we were proceeding was going towards Belgaum,"	1
" other charges - Rs 20,"	1
) so we went to a silk shop where I bought a nice scarf as a present (I thought pashmina was a styleâ€¦ itâ€™s a fabric?	1
" I got the queue whilst Brian got the tickets (100 rupees,"	1
 Itâ€™s not so bad as within seconds the generator turns on the lights but it takes a minute or so for the TV to turn back on and a few more minutes for the Wifi to restart (frustrating when Iâ€™m working or Brian is gaming and we get disconnected) and about 5 for the aircon to come back on.	1
" I could've checked some decent places in the south out in that time,"	0
 Football Manager and Game of Thrones do get boring after a few days.	1
 You won't get anything else with those facilities for that price.	0
 it's very clean and the wifi is the quickest I've ever come across in India.	1
"Last time I went to KFC in Mysore was when I was volunteering in a veggie village so didn't have access to meat very often,"	1
 decent room for 300rs per night.	0
" managed to get the hammock up again,"	1
 making sure Iâ€™m comfortable and giving me handy tips of everything Bangalore related and how to take care of myself.	1
 checking out the local areaâ€¦ I gave him a recommendation for breakfast -- which turned out to be terribleâ€¦ at least I wonâ€™t have to go to try it out now haha ðŸ˜‰ - and he found a really really nice cake shop so I had two nice dessertsâ€¦ the chocolate mousse was one of the best things Iâ€™ve ever eaten.	1
On Friday at the end of the week I came home and successfully managed to arrive back in Koramangala (my local area)â€¦ stop at the shopsâ€¦ go into the Spar to buy some wineâ€¦ and cross the road to get take away from Taco Bell and I did it ALL ON MY OWN.	1
 To get taxi was easy due to the technology.	1
 My parents seem to be used to it nowâ€¦ and it was easier leaving this time already knowing Iâ€™ll be back at the end of June and again in Septemberâ€¦ The difficult byes were my friends childrenâ€¦ I drove away from a few houses in tears after promising to Skype from the car when I saw cows in the road.	1
 Everything at the airport went pretty wellâ€¦ had time for some shopping and a beer and the flight was on time.	1
 We had some breakfast then slept for the majority of the dayâ€¦ I did get up later to go for a swim - that will be my local pool ðŸ˜‰ â€“ and then we went to the gym before meeting Lisa for dinner.	1
 is very comfortable and has a good TV service.	1
" managed to get mango on the sofa (that was me,"	1
 got the Wifi working and Brian cooked dinner â€“ a really nice homemade Indian dish.	1
 It took a bit of getting used to the regular power cutsâ€¦ and the impact that has on the Wifi (a generator kicks in immediately so the lights come back on but everything else takes some time) and slightly slower speed.	1
 We first went to the UB City Mallâ€¦ which had some very fancy shops and restaurants but no phone stores.	0
I had a bit more shopping to do but because of the traffic (it takes a long time to get anywhere in Bangaloreâ€¦ most of my photos at present are of traffic) we had to get back to meet colleagues who were over from the UK for dinner.	0
 Once worked was finished we still had shopping to do and I had to top up my phoneâ€¦ as had used up credit already (obviously should have understood that plan better in the first place!	1
" After an hours travel to the phone shopâ€¦ and a successful top up (I now do understand the plans,"	0
 Iâ€™m not exaggerating when I say there are about 50 options) we were starving and it was too late for the shopsâ€¦ so we asked Noor to take us for dinner.	0
"Later in the day we went out with Noor to get to the shops (eventually,"	1
 At first I felt a bit daunted because I thought I should have had more clothes on (was wearing a T-shirt and knee length skirt) and it was really crowded but it was fine and one of the nicest shopping trips ever.	1
Today we took a walk to the shopsâ€¦ it was Noorâ€™s day off so we were on our ownâ€¦ It took about 15 minutes to walk to the main shopsâ€¦ not too bad as thatâ€™s where the good gym is too.	0
 the authorities have ensured that this heritage site is properly maintained and has become a major tourist attraction in the state of Karnataka.	1
 An archeological museum housing artifacts of the era is also being maintained in the complex.	1
The evening had descended and it was the time for us to return to the comforts of the hotel and seek rest.	1
We left after simple functional breakfast & a steaming hot cup of coffee.	1
 but Bangalore has managed to hide a few gems away.	1
 very basic and cheap accommodation.	1
" I'm not sure if we managed to see all of them on account of stumbling across some ruins,"	1
" Recently I've been playing with the idea of charging 10rs per photo,"	0
 according to the guide book we can sample some cheap ales too!	1
" 20/02/16 after my first night sleeper bus (pretty good comfortable ride) I arrive in Mysore at 7am,"	1
 Much easier to see and more interesting to watch were the wild dogs.	1
 We first drove to the Eco lodge where we are staying.	1
