,Review,Rating
0, and the best part is the wrap-around glass windows with incredible views overlooking the entire neighborhood.,1
1, as the views should be fabulous as night falls and the lights come on around the city.,1
2," The pollution is so bad here,",0
3," No matter how many times you view photographs or watch travel shows about the Taj,",0
4, was the grotesque deformities of a number of beggars surrounding the main entrance.,0
5, Beggars are to be found all over the station and totally ignoring them is the only way.,0
6, Organized chaos ensued with people grabbing whatever seats were available and to hell with reservations….,0
7,"This was a pretty boring drive thru endless fields under agriculture,",0
8, The Khajuraho Temples in Madhya Pradesh are amongst the most beautiful medieval monuments in India.,1
9, which means a crossing point between heaven and earth.,1
10," The pollution is so bad here,",0
11," the existing air pollution and incense being burned,",0
12, We needed some quiet time to be able to comprehend at least a little bit what had happened in the 6 days in Vrindavan.,1
13, It was family owned and for dinner that evening we sat in the family's dining room and ate beautiful home cooked (and vegetarian!,1
14, as me and my luggage squeezed through the crowds to the platform furthest away from the entrance.,0
15, beggars and sellers do their rounds on an Indian train.,1
16, rubbish strewn everywhere.,0
17," the white marble still clean and smooth,",1
18, The two red sandstone buildings that flank the Taj would probably have been spectacular sights in themselves had they not been literally overshadowed by the Taj.,1
19,It is as beautiful as they say.,1
20, warm day and the traffic was not so busy.,1
21, The trip would prove to be far easier and more relaxing than the previous one.,1
22, We walked through the huge main gate and admired the view out over the valley then a walk back around the cloisters to the front entrance.,1
23, The gardens surrounding the building are peaceful and even though there were many people there it did not feel crowded.,1
24, The view back to the entrance was grand and up close the walls of the Taj gleamed white.,1
25, We were shown how they do the inlays and then taken to the shop where we eventually bought a beautiful marble plate with a traditional design.,1
26, inlaid with beautiful patterns just like the Taj.,1
27, small but beautiful in their design and decoration.,1
28, This was pleasant as we have been very busy up to now so a relaxing afternoon ensued.,1
29,Many things are spectacular; some quite confronting.,1
30,The old part of Varanasi is a maze of tiny crowded lanes.,0
31, After a bit of research we have found that the greater Delhi area has a population of almost 25 million people!,0
32, London has a population of around 8.,0
33," Delhi also has one of the highest population densities in the world at almost 30,",1
34, breath-taking architecture amazing and a fantastic view of the Taj Mahal.,1
35, We've spent the day relaxing today in Jaipur and will 'hit the sights' tomorrow!,1
36, boats are available for viewing the entire stretch of Varanasi Ghats from a grand stand.,1
37, how can you travel to India without visiting the beautiful Taj Mahal?,1
38,Just before I give you some more information I just want to point out that the Ganges is one of the most polluted water bodies in the world.,1
39, some sh*t trinket souvenir or a beggar coming asking for “bakshish”.,0
40," Sometimes the beggars aren't even poor,",1
41," Once that's been done they're sent to heaven and aren't reincarnated as someone else,",1
42, got stuck in traffic and then dropped off at the main entrance which is the busiest one and had to walk through a park to get there.,1
43, A huge gate purpose build for your first view of the Taj.,1
44, Entering from the side takes away from your initial view of the Taj slightly because you can see the main dome.,0
45, But it was still a beautiful sight.,1
