,Review,Rating
0," la zona piu' a ridosso della sponda del fiume; facile a dirsi se non fossimo in un paese in cui questo animale riveste un ruolo di primo piano nel pantheon religioso locale; tori,",1
1," but I also managed to get the multi-functional seat in just the right position for napping,",1
2," My driver was waiting just outside the Arrivals Hall and 45 minutes later,",0
3," I’ll be chilling out at the Doubletree Hotel and as they also have an executive lounge,",1
4,"into that beckoning king-size bed with lots of pillows – unpacking can wait until tomorrow,",1
5, He is now my next best friend and I can’t wait to see what other choice cuisine selections he comes up with during my stay here.,1
6,The lounge is a bright and airy room with windows on three sides.,1
7, I have more than enough time to make friends with the staff - that always pays off.,1
8," banks and ATMS are only allowed to exchange these old notes for new,",1
9," All of this has been developed and sustained while maintaining Delhi’s green cover,",1
10," checked into the fabulous Jaypee Palace Hotel for a couple of nights,",1
11, Organized chaos ensued with people grabbing whatever seats were available and to hell with reservations….,1
12," A couple of hours later we pull into Jhansi where my 4-hour bus ride is waiting to transport me to the next port of call: Khajuraho,",1
13,remove enough branches to be able to pull the entire trunk out of the road so we could continue our journey.,1
14, The inside of the temple has rooms that are inter-connected and placed on an East/West line and constructed with spiral superstructures.,0
15," There are hotels that accept only occupants expected to die within 15 days (thankfully not part of the Hilton chain),",1
16," the bus left the hotel and during the 30-minute drive to the river’s edge,",0
17, We stayed here for about an hour before finally turning around and heading back to our departure point.,0
18, Once at the airport our first challenge: we had to call the service desk to tell them to bring out the luggage as we were not allowed to enter the airport without a ticket.,1
19, But they all gave us the same answer: during work they are not allowed to make phone calls and they do not have a phone for that.,1
20," We waited the 5 indian minutes they told us to wait (which were about 20 """"real"""" minutes) - and then,",0
21, Happily we received the luggage and then even discovered an ATM which gave out cash.,1
22," The queue was not to long,",1
23, And the queues were mainly terribly long.,0
24, We have heard of murders (luckily haven't seen anything like this) and injuries of people waiting for ATMs.,1
25, lots of shops are already closing down because people do not spend cash on buying things .,1
26, So we were waiting for them to get out of the airport.,0
27, We patiently waited and were all very happy to meet!,1
28, And we were allowed to join our guru there for the inauguration of the temple.,1
29, it is a major tourist destination and so lots of people are waiting to try and scam you in some way or other.,1
30,The hotel 'Coral Tree Homestay' has to be one of my favourites so far.,1
31, It was family owned and for dinner that evening we sat in the family's dining room and ate beautiful home cooked (and vegetarian!,1
32, I loved the room; the walls were painted in bright colours and the bedding was decorated all over with elephants.,1
33,Managed to get a reflection off the water too.,1
34," It is usually pretty efficient but with my backpack this time,",1
35," funnily enough (""""nej"""" in Dutch).",0
36,"I got an honest tuk-tuk driver for once and as well as charging me the right fare to the hostel,",1
37, The trip would prove to be far easier and more relaxing than the previous one.,1
38, About 1pm we stopped at a Hotel for lunch.,1
39,dining-room where the now familiar buffet awaited us.,0
40, having a drink with our fellow travellers and then dinner in the Buffet of the hotel but an early night was needed.,1
41, Atul introduced us to an official photographer who came with us and took photos of the group and individual couples which would be waiting for us after our visit.,1
42, We walked all round this central room and saw the stone coffins lying side by side decorated beautifully.,1
43, Then it was time to leave this magic place and return to the hotel for breakfast.,1
44,We left the hotel again at 10-30 and our first stop was at a stone cutting workshop where they use the time honoured methods seen in the decoration of the Taj.,1
45, We were shown how they do the inlays and then taken to the shop where we eventually bought a beautiful marble plate with a traditional design.,1
46, We went inside the room where Shah Jahn was imprisoned by his son and where he died.,1
47," The middle room was the bedchamber in which the 14 children were conceived,",1
48," Either side of this are the rooms for the daughters,",1
49,The last room we visited was the Hindu Palace dedicated to Shah Jahn's mother-in-law where Hindu decoration and text can be seen.,1
50, We returned to the hotel for lunch and then had the rest of the day to ourselves.,1
51," Little """"hole in the wall"""" shops sell or manufacture all sorts of things.",0
52," It was sold to us as a more up market shopping area,",0
53, however it was more a maze of run down buildings with faeces sprayed up the walls and people sleeping and living in every nook and cranny with the odd glitzy shop plonked in there!,0
54,) and embarked upon what we thought would be an easy enough 40 minute walk to India Gate.,1
55, However no one wrote that everyone else would have the same idea and we'd be standing in a queue for an hour to get in after rushing to get our tickets at 5:45am!,1
56,"The airlines person informed that we can carry the Asti,",1
57," one should be prepared to dedicate a whole day for travel alone as transit at Delhi could be issue and it happened so as it was not a transit ticket,",1
58,Our stay was fixed at Kumarasamy Mutt - http://www.,1
59, Kasi Mutt also as these two are managed by the same trust.,1
60, This Mutt also manages the Kedar gaht or Kedareshwarar Temple.,1
61, The boat man charges about Rs.,1
62,In spite of the Governments efforts the hygiene and cleanliness is still an issue though there is a hi-decibel public awareness campaign.,1
63,After a long day of travelling and waiting around.,0
64,"As such Varanasi is awash with people waiting to die,",0
65,Just before I give you some more information I just want to point out that the Ganges is one of the most polluted water bodies in the world.,0
66," but I was once told that in legal drinking water you're allowed like five bits of faecal matter per “bit”,",0
67,We stayed in Zostel again (450rs A/C dorm) and it was a short walk to the Ghats.,1
68, Although the same rules don't apply to hashish which is looked upon as an actual drug.,1
69,Bhang is basically legal throughout much of the north of India and consumed in government run shops (but still spoke about under your breath).,1
70," A retreat to the room after a couple of hours was a good idea,",0
71," so we could wait 15 hours to get the next flight for about two and half hours to Yangon,",1
72,I was really impressed that the locals have managed to set it up with guides etc.,1
73,Towards the end of the tour the guide starts to tell us about his uncle’s shop and family business of carving ornaments out of rock.,1
74, In any place near a tourist area in India there'll be some “cheating men” as the hotel owners call them.,0
75," They'll stand on the street and follow you into hotel and try getting commission for taking you there etc,",1
76, or say they can get you a cheap room and it'll be like double the price they've quoted when you get there.,1
77,We ended up going to the place I stayed at last time.,1
78," Hotel Barajang 400rs per night,",1
79, wifi and cable TV in the room.,1
80, Amazingly we were put in the same room I’d had on my last visit.,1
81, We went to the shopping area and had a KFC and got blessed with long life in a Hanuman temple.,1
82,It was like a fun house at a theme park with gods in the rooms instead of your usual amusements.,1
83," There's no way I’m giving someone money when they charge you like that,",0
84," figuring we’d had a decent night’s sleep,",1
85," there was a mini-bus waiting to take us to our hotel for the night,",1
86, Hotel Atithi.,1
87, Hotel Atithi was probably the most modern and clean hotel so far.,1
88," They had a decent small restaurant below the lobby,",1
89," air-conditioned rooms (if you had your key in the holder),",1
90," the room we were first assigned to had not be cleaned up at all,",1
91, who waited until that room was cleaned up.,1
92, besides all the rooms in numerous buildings.,1
93, we were taken back to the hotel for lunch and to freshen up.,1
94, and I had the Hotel Atithi Thali Vegetarian Plate.,1
95," Our guide restated the rules about what not to bring,",1
96, so I left my whole fanny pack in our room and Manoli went through her day bag and camera bag to be safe.,1
97," There is a rule about no gasoline-burning vehicles being allowed within 1 kilometer of the Taj,",1
98," and sure enough one of our ladies had pens and lipstick and another had two bottles of sunscreen and face cream,",0
99, with a stop at an ATM since there wouldn’t be any tomorrow at Tordi Garh.,0
100," so I stayed in the room with her and ordered mixed fruit and a Coke,",1
101, we all went back to the hotel to wait our transfer to the train station.,1
102,” Our guide reminded us that we would not be able to get much to eat on the train and recommended we order something from the hotel to take with us.,1
103," While we were waiting for the train,",0
104, we all agreed to go looking for the Blue Lassi Shop again for lunch.,1
105, except the two ladies staying near us.,0
106," We finally got off the train with our luggage and our guide recruited a number of tuk-tuk drivers to take us all to our hotel in Varanasi for the next 2 nights,",1
107, Hotel Haifa.,1
108,"Hotel Haifa was okay,",0
109, but not quite as nice or clean as the hotel in Delhi.,0
110," We went to our air-conditioned room on the 3rd floor,",1
111," The hotel offered 4 different types of breakfasts,",1
112, we went through some of the market streets to a famous shop called the Blue Lassi Shop.,1
113, we all took rickshaws or bicycle tuk-tuks back to the hotel to rest and get ready for an evening boat ride on the Ganges.,1
114, so we walked back to the hotel to retire.,1
115, We arrived at Varanasi around 2 o'clock and our yoga teachers were waiting for us with 2 vans to go to our hotel.,1
116," There were typical Indian convenience shops and lots of people on traditional Indian bicycles,",1
117,check in and went to our rooms to relaxed for a bit.,1
