,Review,Rating
0,""""") e l'accesso ad una fonte di acqua calda con cui poter compiere la abluzioni quotidiane; una coperta di lana verra' prontamente fornita dalla guest-house,",1
1,"A lovely surprise awaited me at check in – I expected to be upgraded,",1
2,"Mid-morning and time to check out the breakfast offerings up in the lounge,",1
3,"an invite to a private cocktail tasting event down in the Spiritual Bar on the lobby floor,",1
4," I was greeted by the usual mass of humanity but what struck me most,",1
5, Wearing sunglasses is a great help – they can’t tell if you see them or not.,1
6, His love for sculptures is shown in these temples.,1
7," The Chandella rulers had tried to distinguish politics from religious and cultural activities by establishing their political capital in Mahoba,",1
8, are a way of giving importance to wellbeing and love of life.,1
9, The erotic art at Khajuraho is considered to represent the pinnacle of love and passion.,1
10,"the right kind of wood for these cremations (sandalwood for example,",1
11," offers a better burn and therefore it is believed,",1
12, Liberating the soul of a loved one is worth running the risk that the body ends up being picked apart by carrion birds and wild dogs.,1
13," You gotta love a city which thrives on death – somewhat akin to Las Vegas which can feel the same way on weekends,",1
14," we started moving again and next up we were greeted with lights,",1
15, So we went to different service desks outside the airport to ask if someone could make a call for us (we even offered them to pay for the call).,1
16, Walk in guests in India always get discounts and much nicer rooms!,1
17," We love it this way - we have had the other life before,",1
18, Paramahamsa Vishwananda welcomed us and all together we did a procession in the streets of Vrindavan.,1
19, Our joy and happiness was infectuous and many locals joined in or had at least big smiles on their faces.,1
20, welcoming guests and blessing us all the days!,1
21, 300 saddhus from Vrindavan were invited on the first day.,1
22," Our master even offered him his seat (normally,",1
23,"If you have questions about Paramahamsa Vishwananda (any kind of questions),",1
24,It was such a colourful building and I loved sitting in the gardens.,1
25, calling out 'hello' and waving frantically.,1
26, I loved the room; the walls were painted in bright colours and the bedding was decorated all over with elephants.,1
27,Politeness and courtesy aren't things here.,0
28, I noticed food was more expensive and served Western style with curry in separate dishes along with the rice and bread that you ordered on the side.,1
29, I have absolutely been loving the food over here - even better when it's ridiculously cheap!,1
30, They seemed to be making offerings of puffed rice and small white flowers.,1
31, They were very welcoming and the children gathered around us waving and saying ""Bye-bye.,1
32,5 hours in the blistering heat after taking a wrong turning you can't help but wonder is anything worth anything anymore!,1
33," Time is well spent visiting this ancient city and commercial quarters and will offer you the range of Banaras sarees,",1
34,The caste system is a kind of social hierarchy where depending on what caste you're born into you're basically better or worse than other people.,1
35,Me and Dave were offered some “Ganga water” when getting blessed in Delhi.,1
36,According to Hinduism weed and bhang helps you adjust your consciousness and better understand and connect with Shiva.,1
