,Review,Rating
0,decided to monitor my speed (preferably not beyond 110 km/hr) and thereafter maintained the same throughout my journey.,1
1,"Bijapur looked dirty compared to other Karnataka Tourist places,",1
2,Initial drive was thru a narrow and badly maintained road (around a Kilometer) inside a village.,0
3, Room was clean although not matching with the tariff.,1
4," only superficially cleaned (surprisingly,",1
5, the bedsheets and towels smelled and looked freshly washed) and the bathroom was filthy.,0
6, We have never seen such a dirty city in our lives before.,0
7," There was rubbish all around,",1
8, clean and quiet room with a big bathroom with hot water and a balcony (with a view over the fields around Bijapur).,1
9, They were all taking a bath in the dirty river where big crocodiles are supposed to be.,0
10, cleaning their teaths and so on.,1
11, but properly maintained except few places.,1
12," the stained glass windows and the burmese teak wood with ivory ingrained it,",1
13, Either wooden or cement based and were quaint and clean with fans.,1
14," stopping for a quick toilet break,",0
15, already the car was very dirty with wheels and lower part becoming red mingled with debris.,1
16, cleaning of the hotel were not of that standard.,1
17, even going so far as to tell the guy who was on the toilet to hurry up since I needed to go.,0
18, the streets are quite littered with trash and during the day there are people everywhere.,1
19, We smell it long before we see it – a horrible rotting stench that takes us by surprise as try to work out where it could be coming from.,0
20," and smells slightly of smoke,",0
21," She manages to render three roadside toilets (one in a petrol station and two in a hotel,",1
22," The fourth toilet defeats her though as many previous users' shit is already piled up to the level of the seat,",0
23, so after the sight and smell of that her body appears to tell her that she can hold on for now.,0
24, but it was the clean toilet that was the main reason for the stop.,1
25," the hotel had huge clean rooms with hot water that worked,",1
26, I loved the floor tiles and extensive stained glass in peacock motifs in the Marriage Pavilion.,1
27," pillows and blankets were provided and looked clean enough,",1
28, I’d like to report that the toilets weren’t nearly as horrible as I’d imagined.,1
29,If you want some ‘toilet tips for moving trains' – shoes are always better than thongs (flip flops) for obvious reasons; tight fitting leggings or trousers are better than floppy/baggy ones; and the squat toilets are far cleaner than the western-styled toilets.,0
30," all perfectly clean and our room was just amazing: huge,",1
31, And had a perfect sleep in the comfy bed without any stains or bedbugs.,1
32,and clean streets!,1
33,ever say this about a toilet in India ;-)).,1
34, dirty street food stalls.,1
35, dark but clean place.,1
36, We were welcomed very friendly - our room was small but looked clean and ok.,1
37, some guys were cleaning themselves and others were washing dishes.,1
38, We arrived at the bus station in Hassan and were really surprised how clean and well organized this bus station is.,1
39, The bathroom looked about the same (like being cleaned for the last time about 10 years ago).,0
40, The flush of the toilet was not working anymore.,0
41, we did not even hear or smell that the co-passengers were all doing really miserable.,0
42, It is a beautiful and really well maintained temple.,1
43," eating rubbish and whatever food westerners give them,",0
44, which seemed reasonable until the last night when I noticed fucking cockroaches crawling all over the place!,0
45,Buss stop is clean and bigger (it is located at outskirts of Bangalore) compare to other stops.,1
46, It's a feast for the eyes as everywhere you look you see the most ornately carved teak and rosewood doors and ceilings and amazing stained and painted glass ceilings.,1
47,- St Philomena's Cathedral built between 1933 and 1941 in neo-Gothic style with beautiful stained glass windows.,1
48, dirty main road but it was there.,1
49, This temple seemed to have preserved better and the grounds were really well maintained with greenery and a garden surrounding it.,1
50," The stink of garbage and god knows what else made this experience even more difficult,",0
51," I'm sitting outside the place now being stared down by the cleaning ladies,",0
52," I see the dirt and rubbish in the street,",0
53," I arrive at his door and his wife greets me with a tray with contains a sweet smelling candle,",1
54, in a clean and safe apartment in Bangalore.,1
55, our poor tummies were not used to processed rubbish in those pizza's.,0
56,"toilet window needing to be papered up,",0
57, the good news is that the hotel is clean and the room comfortable (though it is a shame that there is an external light pointing straight into our bedroom through the exceedingly thin curtains).,1
58," So far it is looking like a good choice – a clean room,",1
59, all ridiculously attired in one way or another and exchanging a polite “good morning” in some sort of show of solidarity in the face of adversity (etiquette has to be maintained you know).,1
60," We think that the place is a bit out of the 70s but there is no smell of weed drifting around,",0
61, We had tried room service; a man appeared with a grease stained menu card.,1
