,Review,Rating
0, Reminiscent of Jules Verne’s Journey to the Center of the Earth — where the characters come across a massive underground mass of water — there exists under large parts of these states a vast (if diminishing in recent times) subterranean sea.,0
1, I love the respite on my motorbike journeys from the Himalayas to other parts of Rajasthan.,1
2,I have happened upon other delights in Patan (Gujarat); at Amber Fort in Jaipur; and the Chand Baori on the road between Jaipur and Fatehpur Sikri.,0
3, There was also a section of the road with an avenue of banyan trees forming an arch over the road.,1
4, Unbearable traffic in ever-busy Bangalore Roads was not visible.,0
5, NH4 was a six lane highway and the entire road was beautifully maintained.,1
6," Two young Motor Cycle riders were lying on the road in a pool of blood,",0
7, with their two-wheelers by the road-side in badly damaged condition.,0
8,After taking a brief rest the journey began in NH 13.,0
9," it was a two lane Highway upto Hospet (around 130 Km from Chitradurga) with reasonable traffic (mostly trucks,",1
10," The journey had been slightly painstaking,",0
11, mostly without any road sign.,0
12,on the road side (around 80 Kms from Chitradurga) exclusively trading of sheeps and goats.,1
13, I noticed a goods train moving slowly on the top.,0
14, the state Highway 133 was narrow and not well maintained.,0
15,Initial drive was thru a narrow and badly maintained road (around a Kilometer) inside a village.,1
16, Gradually the road condition was improved to some extent but still filled up with large no of patholes.,1
17, Road condition was not good once again.,0
18, I came back to main road and had small breakfast.,0
19, There was a motorable road for going to the other side of the lake.,0
20,After having bath and checking out from the hotel I started my return journey at around 12 PM.,1
21, During return journey also I decided to depend on Fruits and Snacks only to statisfy my belly with occasional stoppage in between.,1
22,Starting the journey thru NH 367.,0
23, The road was full of Potholes and not at all motorable.,0
24, Gradually the road stretched thru interior cultivation fields on all sides and few interior villages.,1
25,One disadvantage of blindly following the Google Map was that the road condition had not been explicitly depicted or known.,0
26, due to bad roads cars or any other vehicles were not allowed.,0
27, There are no rough roads or stones that you could see while walking but all you can see is a green carpet on all the sides you turn around.,0
28," small roads where there is no tar instead all green,",1
29, most adventurous jeep ride ever with only rocks on the road and wheels rolling over them.,1
30,always believed in this line “It’s the Journey that matters and not the Destination”; this was so true with this journey; Journey to this waterfall called Jagara Falls was just more than incredible.,1
31, peacock’s which are my favorite bird which was all around on the roads; they are all just a feast to the eyes.,1
32, Journey to this waterfall was more incredible than seeing the waterfall itself.,1
33, In the afternoon we left Bijapur by train to Solapur from where we had to change for a night bus.,1
34,and we were really sick of travelling by local transports around this part of India.,0
35,How lucky we were that we got train tickets to go to Hampi before christmas.,1
36, The journey was great and the landscape especially in the beginning around the Dandeli Wildlife Parc really beautiful.,1
37, The train was packed but the journey still pleasant.,0
38, as all train tickets for the next 2 weeks were completely sold out.,0
39,Munnar was around 500 kms or around nine to ten hours journey by car from Bangalore.,1
40,NH 7 is a 6 lane highway and ideal for driving.,1
41," The six lane road was so smooth,",0
42, The road was moving to the horizon like a serpent passing thru the glaring sunny atmosphere.,1
43," road condition would be better in this route,",0
44, We selected Bangalore- Hosur- Salem- Perundurai- Dharapuram - Udumalaipettai- Marayoor- Munnar route for our journey since this route passes thru Chinner Wildlife Sanctuary and had immense natural beauty.,1
45," This state highway in Tamilnadu was a two lane road,",1
46, Three or four persons were lying in the road in a pull of blood.,0
47,Road (NH 209) was narrow and going towards the uphill.,0
48," Roads were further rough,",0
49, hoardings of two well known political parties (Congress & CPM) were spread out all along the road-side.,1
50,"At around 9 PM we began our journey to the next destination,",0
51,We commenced our journey thru NH 49.,1
52,This road was narrow with lot of curves and sharp bends.,0
53, There were localities in between and the narrowness of the road made negotiating with the incoming vehicles quite difficult.,0
54,Road was divided in this place.,0
55, One road was moving towards Kottayam and another to Kumarakom.,1
56, We resumed our journey at around 1.,1
57," After driving nearly one hour or so thru narrow roads as directed by my navigator (Munia) in slow speed,",0
58, The journey was between two points of the lake.,0
59," It was as if we were moving thru the country road in a rickshaw,",0
60, The journey started.,0
61, This wonderful journey ended at around 5 PM.,0
62," Tomorrow we had to undergo a long journey to Wayanad,",1
63, The drive was scenic with great roads Router: Tumkur- Davangere - Yellapur- Ankola - Gokarna.,1
64,The roads around the temple have the culture of incredible India retained and the architecture of the houses is beautiful.,1
65, The roads lead to the Kotitheertha which is a pond in the centre of the town.,1
66,There's an overnight train that goes straight from Hospet (near Hampi) to Mysore.,0
67, But due to a major oversight on our part we had booked it only part way to Bangalore and had booked a separate train 2 hrs later from Bangalore to Mysore.,0
68,We had barely walked down the street on the main road before a rickshaw driver approached us.,1
69, It seems the trick here is rickshaw driver’s offer extremely low priced journeys but will then earn commission for taking you to 'recommended' places.,0
70, The business of India’s roads and towns had finally taken its toll on us and maybe that short stint in Goa also shown us what else we could be enjoying in India.,0
71, We somehow managed to find a train leaving the following day and booked it straight away.,0
72, toast and a free taxi to the train station - all on the house.,1
73," your eyes began to train themselves and you could see one more,",0
74," He described a scene of the main road (outside this temple) bustling with elephants,",1
75," Hospet to Bangalore to Mysore (2 trains)- 12hrs 1154 rupees,",0
76, we picked up his cousin and hit the toll road of national highway.,1
77, The roads were good and we hit 100km/hr.,0
78, We had a sumptuous lunch and hit the road to return to Bangalore.,1
79," The road comprises 36 hairpin bends,",0
80," The lower the road took us,",1
81," Was it also for the dangerous road which negotiated extremely steep valley sides,",0
82, an elephant crossed the road merely metres in front of us!,0
83, along the bumpiest road I think I have ever experienced.,0
84,left turn towards Shimoga thru NH 13 (Sholapur Mangalore Highway)and finally take NH 206 (Bangalore – Honnavar Highway) to reach Jog Falls via Sagar.,1
85, which was a four lane Highway and well maintained.,0
86,Road condition of NH 13 was not at all conducive for smooth driving.,0
87, Road materials mixed with rainwater made matters worse.,0
88, Above all the road was broken in some places.,0
89, This road although not very broad but was well maintained.,0
90, We saw a big village market on the road including Fish market also.,1
91,After breakfast at KSTDC restaurant we bagan our journey towards Honnavar thru NH 206 and ultimately to Murudeswar.,1
92, NH 206 which goes to Honnavarwas narrow but road condition was more or less ok.,1
93, A few kilometres later Ghat Section road began.,0
94, The road was zig zag with large no of curves and it neededcareful driving to negotiate.,0
95, Falling trees in various places narrowed down the road passage.,0
96, The two KM long Honnavar road bridge on the way to Murudeswar is one of the longest bridges in India.,1
97, Offered “pranaam” to Lord Shiva and our journey began.,1
98, This road was quite good to drive with wonderful natural beauties on the way.,1
99, It was a pleasant journey with the narrow road gradually increasing in height havingseveral twists and turns.,1
100, The road passed thru absolutely green forests in Western Ghat with occasional view of waterfalls from nearby hills.,1
101, There were some risky turns but overall road condition was good.,0
102,Throughout our journey the “Google Map” followed thru GPS dictated us which route to take as well as the distances to be covered.,1
103,near Bankapur we lost the way and erroneously entered a remote village road with large potholes.,0
104, That was a nightmare and I waspraying that our car would somehow pass that road (around five kms) without any trouble.,0
105, As I explained NH4 is one of the best roads to drive.,0
106,A memorable journey indeed.,1
107, There was also a big meeting (about 200 attendees) I attended where people discussed the issue of building a road through a place called Pony Farm.,1
108," When I got to Bangalore I tried to get a rickshaw driver to take me to the train station so I could get to Mysore the way Madi had advised,",1
109,Wide empty road- can't imagine in the city.,1
110,We started our journey at around 6am in the morning.,0
111," We can see trees on both sides of the roads many times the top of the trees kissing each other making a complete shade over the busy roads,",1
112," We were required to cover 12 hours journey hence,",1
113, local public transport etc.,0
114, might roam around on to the roads but during day time it would have been a rare sight.,0
115," Riding the first 60 km on largely flat good roads (with light slopes at times) seemed doable,",1
116, It was nice and cool - empty roads & ideal riding conditions.,1
117, Riding along NH7 (we did not take the elevated highway) was super-smooth - though some cars & trucks coming on the wrong side was a major irritant.,1
118, and the road was lovely (with gentle up and down slopes).,1
119," On second thoughts - maybe I will put a couple of training wheels next time,",0
120, And then was time for the best part of this journey - the CRAZY ride downhill !,0
121, It is the journey that matters.,0
122," The first part of the journey is slow but scenic,",0
123, This should be quicker but a 30 mile stretch of road is being rebuilt so the driving is both slow and bumpy.,0
124,we reach Mysore and the road improves.,0
125," The roads are properly made up,",1
126, We wind through ever narrower and worse quality roads as we pass one tea estate after another.,0
127," So the first ten to twenty feet from the road is dark grey,",0
128,The first section of this morning’s drive is along the main road that runs through the park.,0
129, After looking both ways (it clearly knows the green cross code) it lumbers across the road and off into the forest.,1
130, Shortly after stopping the ranger shrieks ‘tiger’ and we reverse up to the road in time to watch a large male tiger walk very slowly across the road before vanishing into the undergrowth on the other side.,0
131,"We turn off onto the red dust roads that criss cross the small section of the park open to tourists,",0
132, This is every Westerner's dread on an Indian road journey.,0
133,The temperature is rising and the journey passes hour after hour.,0
134,Eventually we find the turning off the road to Mysore that we need to find.,0
135," However now the journey gets a bit tricky as all road signs are now in Kannada not Tamil or Malayalam,",0
136, Eventually we find ourselves driving through Mudumalai Tiger Reserve followed by Bandipur Tiger Reserve (this on the main highway to Mysore!,1
137," we could see on both sides of the road various vegetable cultivations,",0
138, her daughter and I decided it is a must see and jumped into the train headed north from Bangalore.,1
139,"Since our return train tickets did not get confirmed,",0
140,journey rains started and marriage party was stuck up due to flood in Gomati river flowing near Rajasamand.,1
141, Rajsamand town is on 4 lane national highway so it is less than an hour's drive from Udaipur.,0
142, there is 24 hour transport availability in form of state roadways buses/private travel buses taxis etc.,0
143," One can also go there by train from Udaipur but takes 2-3 hours,",1
144," trucks and farm animals were sharing very narrow roads with speeding buses,",0
145,"30pm on an 11 hour overnight train to the eastern coast of India,",0
146, we clambered into the minibus and headed to the train station.,1
