,Review,Rating
0, and live like its heaven on earth.,1
1,“Aim at heaven and you will get earth thrown in.,1
2,“The ''kingdom of Heaven'' is a condition of the heart -not something that comes ''upon the earth'' or ''after death.,1
3, it's no wonder that heaven can be conceptualised as not just above the earth.,1
4, as a boundary between heaven and earth known as tirtha.,1
5," with their particular views on sanitation,",0
6," Heaven was delegated to hell somehow,",1
7, Somehow it feels comforting down in these refuges below the chaos of what is above on the surface.,0
8, Slowly the mist began to clear.,1
9, This shop was jammed full with Indian tourists.,0
10, The cars and the traffic drive over and this seems to be part of the threshing process.,0
11, We have our own veranda with a view of the lake.,1
12, Unbearable traffic in ever-busy Bangalore Roads was not visible.,0
13," Traffic was comparatively less,",0
14, The traffic was considerably lesser.,0
15, NH4 was a six lane highway and the entire road was beautifully maintained.,1
16," it was a two lane Highway upto Hospet (around 130 Km from Chitradurga) with reasonable traffic (mostly trucks,",1
17, particularly in view of the recurrent trouble of overtaking large vehicles in a comparatively narrow road.,0
18,I also stopped near a Sunflower cultivation field on the roadside.,1
19,"Despite having great historical significance and being the centre of humongous and beautiful Muslim Architecture,",1
20,This is one of the most beautiful monuments I have seen anywhere.,1
21, I was coming thru interior villages as well as cultivated fields in both sides of the road.,1
22, The temple was enriched with beautifully carved walls and pillars having various sculptures with minute details.,1
23, The walls of the temples had beautifully carved stone sculptures.,1
24,The sanctum contains “Black Siva Linga” as well as a “beautiful stone large bull.,1
25, a beautiful view to watch.,0
26, Room was clean although not matching with the tariff.,0
27, The panoramic view on top of the hill was beautiful.,1
28, Lord Vishnu manifested in his various glorious form which were immortalised by the beautiful craftsmen thousand years ago.,1
29, Gradually the road stretched thru interior cultivation fields on all sides and few interior villages.,1
30," mountains stretching all around,",1
31," waterfalls that you can see after every few meters on the road,",1
32, got to witness the spectacular sunset amidst the mountains bidding goodbye for the day.,1
33, It was raining when we reached there; we started climbing the hill to witness the view of the whole town.,1
34, there is a waterfall here called Manikyadhara falls which is a sacred place for devotees who visit Datta Peeta.,1
