,Review,Rating
0,The well/pool in the depths of the vav.,1
1, despite centuries of traditional efficient and effective usage of the well system.,1
2, Somehow it feels comforting down in these refuges below the chaos of what is above on the surface.,0
3, Much easier to see and more interesting to watch were the wild dogs.,1
4, We first drove to the Eco lodge where we are staying.,1
5, The cottage had a large room and next door a small plunge swimming pool just about deep enough and big enough for one stroke.,1
6, This shop was jammed full with Indian tourists.,1
7,"The lodge where we are staying is a luxury place,",0
8,"Il y a une blague qui circulait sur internet il y a quelque temps : A la fin de Interstellar,",0
9, ca nous a pris 1h30 pour rentrer a l'hotel seulement a 11 km de la.,0
10,My immediate requirement was to look for a lodging arrangement at Bijapur.,0
11, thru calling over phone to no of various hotels (collected from sulekha.,1
12, I could not manage confirmation from any of the hotels.,1
13, I was amazed to see hundreds of vehicles waiting to cross the toll gates.,0
14, There were seven-eight queues each consisting at least hundred vehicles.,0
15,In my queue I noticed that the toll challan was issued by a person standing after the toll gate.,0
16,"earn huge un-accounted income by the toll-gate personnel for each of so many waiting cars,",1
17," Two young Motor Cycle riders were lying on the road in a pool of blood,",1
18,decided to monitor my speed (preferably not beyond 110 km/hr) and thereafter maintained the same throughout my journey.,0
19, This worked well as I managed to avoid a siesta which would be risky in a long drive.,1
20, ruled by the kings of the Adil Shahi dynasty for nearly two hundred years (1490–1686).,1
21, City’s famous architectural marvels were built during the rule of this dynasty.,1
22, During the rule of Mohammad Adil Shah (1627-1657) the boundary of Bijapur state extended as far as Bangalore.,1
23,"The rule of Adil Shah dynasty ended in 1686,",1
24,I tried to look for a lodging near the bus stand.,0
25, I approached “Hotel Lalit Mahal” adjacent to the bus-stop and luckily got accommodation.,1
26,The hotel mainly caters to the long-distance bus passengers who need overnight halt in a boarding place near the bus stand.,1
27, far less than other well-known hotels shown in various web-sites).,1
28, The rooms were ok for a night’s halt.,1
29, It is the tomb of Mohammed Adil Shah (ruled 1627-1657) and construction ended in 1656.,1
30,Initial drive was thru a narrow and badly maintained road (around a Kilometer) inside a village.,1
31, but I must say that the brilliant sculptures of Nataraja and other goddess in the temple wall were enough to mesmerise even an ordinary person with no background in this field.,1
32," After trying a few hotels in vein,",0
33, I was suggested by one of the hotel personnel to try at Hotel Mukumbika.,1
34," I was allotted a room at the Ground Floor Corner,",0
35, since all other rooms were reported to be already booked/occupied.,0
36, Room was clean although not matching with the tariff.,1
37, The hotel was having a separate parking lot where I parked my car.,0
38," This kingdom ruled Karnataka,",0
39,I was advised by the Hotel personnel to visit the Badami Caves in early morning which I did.,1
40,After having bath and checking out from the hotel I started my return journey at around 12 PM.,0
