,Review,Rating
0," love like you've never been hurt,",1
1, I love the respite on my motorbike journeys from the Himalayas to other parts of Rajasthan.,1
2, My guest house of choice has a platform just beside the Sagar Lake ideal for sunrise yoga.,1
3, In a nearby tree there was a different kind of eagle.,1
4, small cormorants and different kinds of small wading birds.,1
5,It only seemed fair that we shared all of this camel excitement with the loved ones who would appreciate it most - the Shamrock Farms camel herd!,1
6,I cannot tell if they really love the book or if they are just relieved we did not decide to teach them how the Raika install a nose peg!,1
7,This incident helped me regain my sense of safety and need to drive carefully.,1
8, Watching thousands of Sunflowers glowing in the sun-shine served as a welcome break to the monotony of a long drive.,1
9,I was surprised to note the respect and love given by the king to his mistress (Ramba) who lied on the one side of the king’s tomb along with his wives.,1
10,In both the places I took the help of Guides to understand the importance of these structures.,1
11, which was not equipped to face this kind of road.,1
12," there was a smile around me that kept saying this is not the last day,",1
13, Aihole and Pattadakal are little villages that do not offer accomodation.,1
14, people really friendly and the food was excellent.,1
15, But they were very kind and respectful.,1
16, friendly and had amazing food!,1
17, Another attraction was various off-season hotel discount offered by different travel-sites.,1
18, Munia went inside to see and offer prayers.,1
19, hoardings of two well known political parties (Congress & CPM) were spread out all along the road-side.,1
20," Food was served after a long wait nevertheless it was north Indian type,",1
21," Two /three types of vegetables were served without any limit,",1
22, There are various kinds of house boats and the rentals starting from Rs.,1
23, He was a local man and a very friendly person.,1
24," As we thought about the loved ones that had recently passed through our life,",1
25, a woman offered to sell us fresh cut cane sprouts to use for an offering in our worship.,1
26," As we did with everyone offering to sell us something,",1
27,he suggested we buy the fresh foliage here at the sacred part of the lake and feed some of these hungry calves we see walking around town to honor those loved ones that we recently lost.,1
28,"I just loved the idea and I am certain Uncle Max,",1
29, It was a lovely resort with an awesome view of the Kudle beach.,1
30,Gokarna - Kudle beach is no doubt one of the best beach for people who love to go right in and enjoy the waves but the city's beauty is doubled due to its spiritual feel!,1
31, Apparently there are many yoga centres offering classes and some even offering courses.,1
32, We love the relaxed rules of India.,1
33, friendly and don't overcharge foreigners.,1
34, He offered to take us to all these places and more.,1
35, We declined his offer and asked him to just drop us near the palace where we could get food.,1
36, It seems the trick here is rickshaw driver’s offer extremely low priced journeys but will then earn commission for taking you to 'recommended' places.,1
37, with a very basic menu selection but offering a unique experience we took a seat inside.,1
