,Review,Rating
0," a dirty white skinny thing with milk heavy underneath,",0
1,” She would try to find the phone number of a rescue organization in Madurai.,1
2, He said he would send the number of a rescue organization also.,1
3, and cleaned and sutured the wound.,1
4, The show piece for the museum is the blood stained clothing he was wearing when he was shot.,1
5, It has been maintained really well and has a variety of flowers and birds.,1
6, The organization of the event was great and I have been a regular attendee of the Go Heritage runs post this.,1
7, the waterfall was not something spectacular though it was pretty well maintained and scenic.,0
8, Hotel Lake View was definitely a very well located and maintained restaurant.,0
9,The trash collector’s cart—a small wheeled affair powered by a person on the attached bicycle—was parked on the side of the road.,1
10," Trash collection is not a glamorous job at all in India,",1
11, so she could smell as sweet as her creation was beautiful.,1
12, sounds and smells will hopefully be familiar from 27 years ago.,1
13, The architecture is from the times of British and still maintained well.,1
14,"Turns out the pool is in a “cleaning” process and we couldn't go near it,",0
15," Each passenger was provided with a dirty life jacket,",0
16, several items from his wardrobe including the blood stained cloth from his last day.,0
17, Though some of the town's buildings could do with some paint the streets were very clean and there were some buildings which were very attractive.,1
18, The hotel was a heritage house with a courtyard at the centre and stained glass window sections over the courtyard.,1
19," Pondicherry in the tourist areas is green and clean and fairly quiet,",0
20," strong urine smells,",1
21," rubbish everywhere,",1
22," sweet smelling jasmine,",1
23, Garden is maintained by the Horticulture Department of the government looks pretty with : orchids – flowering bushes – plants in myriad hues and vast range of ferns.,1
24, The room was clean and good for us.,1
25,We fit a lot into a relatively short period of time but are happy to be settled back into some home life at my Dad and Step Mother’s house in Gujarat for a bit of normality (and clean clothes) after a couple of weeks on the road.,1
26, Dhvani had kindly organized a car to pick us up and we were thankful for that as it looked a little random if we were to get a taxi provided by one of the dozen or so folks offering us that service as we were leaving the airport.,0
27," “Clean Ooty,",1
28, we maintained uniform speeds managing to be above 60 kmph.,1
29,"It was a clean ride and we stayed together,",1
30, I was in almost in tears filled with bromance till I could clearly smell the foul odor of wine.,1
31, It’s smaller but better maintained than the one in Ooty and has far fewer visitors.,1
32," At one point there is an unbelievably strong smell of citronella,",1
33," The smell of tea is almost overwhelming as you walk through,",1
34, only to smell cordite.,1
35," The path is littered with discarded snack packets and broken and discarded chappals,",0
36, The smell of wood smoke suffuses the air.,1
37, It is about 35C and we need some shade to wait so we find a urine smelling park full of pilgrims and vagrants and a low stone wall to sit on.,1
38, none of that red painted stone rubbish we saw yesterday.,1
39," A rat scurries busily around the entrance looking for food – Sara tries to convince herself it is a mouse,",0
40, stopping en route at a petrol station for a toilet break.,1
41,the non locking toilet door she is approached by a young man with a cameraphone who begs to be allowed to take her picture.,0
42," And always the heavy dominant smell of the temple,",0
43, a mix of flowers and scented oil and ghee and that indefinable smell of the massed ranks of humanity.,0
44," the good mingles uncomfortably with the bad – a strong scent of sandalwood and incense by the boats and their nets piled on the sand (presumably from incense burning to seek blessings before going out to fish) co-exists with the smell of rotting fish from the piles of small dead fish,",0
45, but the inefficiency in time is significant and it is harder to maintain the quality of the product.,1
46, The air was thick with the smell of oils and spices from burning lamps and incense sticks.,0
47, shared the three showers and toilets in the ten-person dormitory and headed out at 7.,1
48," We walked past people cleaning the streets,",1
49," There were adjacent shower and toilet facilities to our room,",1
50, It was comfortable and clean-ish.,1
51, Tea plants are actually tea trees that are manicured to remain as bushes (similar to maintaining a bonsai tree but on a larger scale).,1
