,Review,Rating
0,I want to mention the details about the journey we went in April 2016.,0
1," So immediately i have booked the train tickets,",1
2,My parents started their journey in GRAND TRUNK EXPRESS from KHAMMAM - CHENNAI.,1
3, They packed all the things and started their journey towards chennai.,0
4, I booked a train from chennai to madurai (Nellai Express) which leaves the Egmore at 8:10 PM.,0
5, usually) and I started my journey to Egmore.,0
6, We boarded the train and I managed somehow to get the lower berths to my parents.,0
7, He drove slowly through the main roads of madurai and finally he reached PAMBAN bridge by 12:00 P.,1
8, Air blowing was very much high at that time and luckily we saw a train crossing the train bridge.,1
9, Pamban Road bridge and Rail bridge are differ in altitude by very much.,1
10, Road bridge is very highet from sea level but whereas the Rail bridge is just 10-15 meters height above the sea level.,1
11, I know there will be lot number of buses in Tamilnadu but i preferred this train because this will leave Rameshwaram at 5 P.,1
12, so that i can feel the train journey on pamban bridge.,1
13, Train started at 5:00 P.,0
14, The train crossed the bridge the train took at-least for 5 minutes to cross the bridge.,0
15, Train went through several stations but food options are very limited if you are travelling in this route so before the train crosses the Manamadurai Junction please choose your food option.,0
16, He took bypass road of trichy and went in trichy - tanjore highway.,1
17, We boarded the train at 2:50 P.,0
18, and my parents continued their journey in the same train and alighted at Vijayawada which reached next day morning by 6:00 A.,0
19,out to the Ghandi museum which has a great pictorial history of India and its road to independence.,1
20, went to the cows and waved them out of the road to safety.,1
21," I decided to take the Airavat Club class (Their motto - """"Sleep like a baby"""" and they don't disappoint :P) bus from Karnataka State Transport which are very comfortable.",0
22, We then came out into a road within the campus which then led out of the campus.,1
23, The descent was pretty easy and the end of it led to the next 5 km leg which was a meandering road through the countryside.,1
24, It is very accessible by road from nearby cities and Bangalore.,1
25,I spotted a dog lying on a bench at the side of the road while on my morning walk.,0
26, power poles down and road closures in many places.,0
27, I got let off the bus in the city and told to just walk straight down the road until I came to the Meenakshi Temple and the road my hotel is on was behind it.,0
28, ready to continue my journey in India.,0
29, This date happened to be a couple of days before the Kaikoura earthquake so spent a lot of last week thinking they might be sitting in that train stuck on the blocked railway or other such images but they turned up a week later.,1
30, there was very little scope for us to skip the training/coaching sessions.,1
31, Tamil Nadu through a Highway of 28 km.,0
32, We started our rocking journey to Ooty from Salem by car with our driver.,1
33, We started our journey at 5 am in the early morning and at 7:30 am we reached Mettupalayam and we get down for breakfast at Green View resort nearby Black Thunder.,1
34," We already received toy train tickets for 5 members,",0
35," the train starts at 7:10 am,",0
36," It was an amazing feel journey and to looking over misty closed the “queen of the hill “mountains ,",1
37,"the real visual treat travelling in toy train reached coonoor junction at 11 pm,",1
38," so we vacate our room at 7:00 AM and start our journey towards Pykara,",0
39,"and we saw many monkeys roaming beside the road and peacock flying across the roads sides and also tree to tree,",0
40," we start our journey towards Coimbatore through Kotagiri road,",0
41,"Ninth day morning at 8:30am we get ready checkout our room and had our breakfast and we start our journey towards Pollachi Aliyar dam at 11am reached there,",1
42, Topslip can be reached by the only in road ways.,0
43, The road-widening work coupled with the peak-hour city traffic slowed our pace drastically.,0
44," During our road journey in the last 4 days,",0
45, one side of the road was the state of Kerala and on the other side the state of Tamil Nadu.,0
46, The road doubled as the border for neighboring states.,0
47, the quality of road has been good throughout and well maintained too.,0
48,"The journey continued and we spotted a vendor selling Neera,",0
49, The road below had constant movement of tourists from all over the country.,0
50,In the evening we took a small walk towards the Beach Road and visited high-domed Mahatma Gandhi Memorial.,1
51," The environment-friendly mode of transportation facility by Kanyakumari Special Grade Town Panchayat,",1
52,It was the time to hit the coastal highway … driving towards our next destination ….,0
53,"road eventually leading to a dam & tea estates I search out renting a bike but to no prevail,",1
54, The mode of transport was a good start.,1
55, The journey back was a reverse including those hairpin bends.,0
56, Across the road there was another shrine which we also explored.,0
57,After lunch we continued the short journey to Cardamon House.,0
58, Here it is easy to walk around unlike Chennai where the roads are impossible.,0
59, Journeyed by auto - which I know as a tuk - from the hotel to the sea.,0
60, My friend Pushpa wanted to help me as I waited for an auto rickshaw on the road in front of her house in Tiruvanammalai.,0
61, So I was back to waiting on the road for an auto rickshaw!,0
62,"""""Were you trained as a lifeguard?",0
63, work with it perhaps (maybe I could train him/her to do sit ups or play fetch?,0
64,The route from Mettupalayam to Ooty is very scenic though curvy roads hit you and make you feel sick.,1
65," There was also a mini toy train which goes along the lake,",1
66, We faced problems with the road conditions at some places and also it was very narrow way.,0
67, The journey to jungle to see 'Jungli' animals ended with a spot of a snake that crossed the road just in front of our vehicle.,0
68, where we found a steep road ahead.,0
69,Then with this whole journey and adventure we headed back to Coimbatore via Kotagiri (as the roads were diverted towards Kotagiri at night).,0
70, The road was awesome.,0
71, We drove a few minutes forward when my brother got confused about the roads at a four way cross.,0
72, he told it was ‘Charring cross’ and we have to take a straight road to reach Botanical Garden.,0
73, we reached Tea Factory and Tea museum for which we have to take a right turn up from the main road to reach.,1
74, The road was zig-zag and through a dense eucalyptus forest.,0
75, Our train Ooty to Coonoor (56140/56141) was scheduled at 6.,0
76, Our train arrived on time.,0
77, Our train started.,0
78, Many times I have heard about the train but this was the first time I’m in the train.,0
79," our train stopped at some stations like; Lovedale,",0
80, The train moved through aisle of trees.,0
81,Our train reached Coonoor at 7 in the evening.,0
82,We came through the narrow roads of a small village.,0
83, it was time to get on the road to explore what South India had to offer.,1
84,Chettinad (where we stayed the second night) was one of the highlights due to it being a small town that trains many of the best chefs in India.,0
85," but when you’re overtaking one of those busses and another bus comes the other way you discover that the road will actually fit three vehicles,",1
86," we had been on the road for quite some time so we were excited to leave Kerela (although we will genuinely miss our driver,",0
87, to side of the road barber.,0
88," Friday morning I caught a train from a place called Ernakulam,",1
89, there were absolutely none around at 8am in the morning when I needed one to take me the half-hour journey to the train station to get my train.,0
90," but being a person who likes to get to transport places at least an hour early just in case,",0
91, and I really settled into the journey and enjoyed it.,0
92,"The train took me inland,",0
93," The mountain pass was just stunning – the train stayed on the flats between the mountains on either side,",1
94," The train took me to Coimbatore,",0
95," which climbs and negotiates the steep mountain journey from nearby Mettupalayam to Ooty,",1
96," Coimbatore’s train station wasn’t too helpful,",0
97," my hotel receptionist told me that they only decide whether to run the train on the morning of departure,",0
98, the Lonely Planet says the four-hour journey is often very crowded and actually recommends taking a taxi up there.,1
99,The journey up was amazing!,0
100," After around an hour or so of plain road driving,",0
101," the road started to go up,",0
102, My journey has indeed taken a different turn as I have left the Keralan coast and somewhat exited the beaten tourist track.,0
103,"A journey of unexpected and magical moments lay in await for us proceeding on our second trip,",0
104," I rode along to the Mudichur road end and joined the Vandalur – Walajabad State Highway which took me on a steady throb to Walajabad in 45 minutes,",0
105, We were supposed to take the Military Road on the left after crossing the Pachaiyappa’s college but I was a bit skeptical as there was a left turn near a petrol pump and I could not find Jay or Jag anywhere around.,0
106, We had to take the same road to Vandavasi which was our agreed next destination.,0
107," the road being quite smooth,",0
108," was too slow for a road trip,",0
109,00 pm by the time we got out of Vandavasi town on to the state highway heading towards Polur the next town.,0
110,were a welcome relief still we slowed down since the roads became wet.,1
111, and we knew the fantastic part of the journey was almost yet to begin.,1
112," Bikes roared to life again and we took the road just behind the tea shop,",0
