,Review,Rating
0, I would step into the noisy world outside and walk a short ways up the street.,0
1,"I threw my arms up to the heavens and cried out,",0
2, and cleaned and sutured the wound.,0
3, I was bit worried because my friends said that there will be heavy crowd because of the festival time but surprisingly very less number of people were there and peacefully we had our darshan.,1
4, They have set up a viewing platform on the roof of the shop to overlook the temple and act as a draw card for prospective clients.,1
5,"The trip down the beach turned out to be a trip down the new,",0
6,"A trip with the promise of a views of a beautiful hill station,",1
7,very close to the Botanical Gardens near the heart of the city and Hotel Lake View for the last day.,1
8, The traffic near the city reminded me of the crazy Bangalore traffic but it eased off as we moved out of the city.,1
9, The lake was about 30 km from the city and on the way I was able to city the Emerald lake which looked supremely scenic with the surrounding greenery.,0
10,The Avalanche lake can only be viewed when you book a safari which is run by the forest department.,1
11, The safari's first highlight was the Cauliflower Shola which gets its name as the canopy of trees on the hills when viewed from a view point resemble a cauliflower.,1
12, And finally to top the views came the Avalanche lake.,1
13, Doddabetta turned out to be a dampener after all the hype as it was overcrowded though it had some good scenic views.,0
14, The surrounding is very peaceful without the din of the city.,1
15, The photos speak for themselves in this case ? Dolphin's Nose and Lamb's rock are both view points offering differing scenic views of Ooty.,1
16, Lamb's rock had a view of green hills forming a V boundary to the city with cloud patterns at the top in the blue sky.,1
17," At Dolphin's Nose view point,",0
18, The route was easily one of the most beautiful routes I have been on.,1
19, Then it led to a forest like path for about a km which opened to lush green pastures and provided a view that was breathtaking.,1
20, Post the view was a climb through a dense region for about a km which was breath-taking.,1
21, I started off to Needlerock View Point at Gudalur in The Nilgiris.,0
22, It was a short walk to the top and the overall 360 degree view was amazing from the top.,1
23, From there I moved on to Pykara Waterfalls which was about 20 Kms from Needlerock View Point.,0
24, the waterfall was not something spectacular though it was pretty well maintained and scenic.,1
25, I still had time and thus on the way back decided to head to the super crowded botanical garden.,1
26, it was decorated beautifully though there wasn't much space to move around.,1
27," After viewing all the decorations which included trains,",1
28,I returned to check into Lake View Hotel.,0
29, Hotel Lake View was definitely a very well located and maintained restaurant.,1
30, As the run is untimed you can take as long as you want enjoying the amazing scenic routes throughout the run without worrying about the competition.,0
31,The peaceful environment with the small crowds compared to the hustle and bustle of the city or the throng of people in a city is certainly refreshing.,1
32, Ooty is undoubtedly blessed with natural beauty with stunning views though the timing might probably be better after the monsoons probably during Aug-Sept-Oct.,1
33, or hang strands from their rear view mirrors in their vehicles.,1
34, where sizable populations of Indian people need the flowers just as people need them in Madurai.,0
35, to hold on to that beauty or good feeling.,1
36, It's on a small peninsula overlooking the beach on the Bay of Bengal.,1
37," Her head and horns were anointed with yellow paste and red dots—it had been blessed that morning by someone,",1
38,” a tall young boy asked me as I fled the noise on the streets.,1
39, His humourous view on the cash situation and what the 8 people behind the currency exchange counter individual roles in the process was priceless.,1
40, Motto was to enjoy whatever Yercaud has to offer and relax rest of the time.,0
41,Luckily tempers settled down and peace was restored by the time we reached Yercaud @ about 2 PM.,1
42, The drive uphill was scenic and exciting with 20 hair pin turns.,1
43,Rest of the day was totally relaxing with after-noon nap and family time in the evening with indoor games.,1
44," If we were totally disturbed by mosquitoes on one hand,",0
45, We started our journey at 5 am in the early morning and at 7:30 am we reached Mettupalayam and we get down for breakfast at Green View resort nearby Black Thunder.,1
46, we moving towards the foot hills of Ooty from Mettupalayam through mountain train.,1
47," then we move to dolphins nose birds view point,",0
48," it looks so deep hill view point,",1
49," then we moving to Rallia dam we saw high field tea estates and visit tea factory ,",1
50," it is a cute broad waterfalls where we can sit,",1
51," tooks lots of beautiful snaps with my team in botanical garden and then we went to Rose garden at 12 pm,",1
52, it is a highest mountain in the Nilgiri peak.,1
53," in which we can see the full view of beautiful “Queen of Hills” very pretty through telescope and it also feels that we can touch the queen of hills with our fingers,",1
54,"it was very beautiful to see the site scenes around the hills and the waterfalls,",1
55,"then we went to top of the view point ,",1
56,"it was a very beautiful serene location where the weather and scenery gets changes every 5 seconds ,",1
57, bisons and beautiful peacock.,0
58,"near our resort there is a beautiful river with spotted deer drinking water ,",1
59," then at 12:30 pm we got tickets for forest site view trucking,",1
60," mountain squirrel took many snaps in closeup,",1
61,"wow we saw a rich field of tea and coffee plantations,",1
62, pleasant and peaceful pilgrimage.,1
63, it was a peaceful ritual pray there at 9pm we reached hotel had our dinner and went room felt as sleep.,1
64," went inside the Aliyar garden took 6 tickets sight seen inside the garden took some beautiful selfies with my buddies,",1
65, Topslip is located in the Anamalai Mountain range 800 feet from the sea level.,1
66," Forest tracking and enjoy in watching all kind of wild animals and beautiful birds at 3:30pm we went to restaurant had lunch and 4:30pm we start our return trip to Salem via Pollachi,",1
67," The moment we stepped off the bus a man approached us and offered a room near the beach within our budget,",0
68, The beach is less than 100m walk away and the sign says there's a pool!,0
69,"Turns out the pool is in a “cleaning” process and we couldn't go near it,",1
70," with it's silhouette that can be seen along the beach for miles,",0
71,We spent the afternoon on the beach being pestered by gypses (they're here too) who were walking up and down the beach selling trinkets and necklaces etc.,0
72, The traffic was sparse and the chauffeur kept us engaged in his lively chatter.,0
73, The road-widening work coupled with the peak-hour city traffic slowed our pace drastically.,0
74,"We passed the diversions towards famous beaches - Kovalam,",1
75," As the traffic slowed down,",0
76, The south-facing room on the higher floor ensured that we have an uninterrupted view the famous landmarks of Kanyakumari.,1
77,In the evening we took a small walk towards the Beach Road and visited high-domed Mahatma Gandhi Memorial.,0
78, This beautiful structure was constructed in commemoration of the immersion of the ashes of the father of the nation in 1948.,1
79, we visited the beautiful Bhagavati Amman temple.,0
80, not to be confused with Kovalam Beach in Kerala.,1
81," there was a view tower,",0
82, and was full of tourists seeking panoramic view of the sea and surrounding landscape.,1
83, we returned to the beach in the same battery-operated vehicle.,1
84, The tourist flow to the beach was getting diminished with every passing hour.,1
85," A small ‘spirited’ relaxation was followed by the dinner consisted of Prawns,",0
86," The sun had surfaced on the horizon … and within minutes the crowds on the terraces dispersed,",1
87,Kanyakumari has multi-religious population dwelling in a perfect harmony.,1
88,"28/02/16 arriving an hour early @ 4am but still manage to seamlessly connect to Pollachi where I enjoy morning chai until meeting up with Harish (couch surfing host) to spend a morning at his tennis club with a great crowd & super breakfast,",1
89," 03/03/16 walk to Vattangatal village sporting various foggy view points before returning to town and catching a 3pm bus to Madurai,",1
90, chaotic little seating room but super food.,0
91," Super scenery all the 40k to the beautiful lake side Megamalai highwavy tea estate,",1
92, Very quiet and peaceful.,0
93, The traffic is crazy.,0
