,Review,Rating
0, approached and allowed me to scratch under her chin.,0
1,” She would try to find the phone number of a rescue organization in Madurai.,1
2, He said he would send the number of a rescue organization also.,1
3, The doctor was kind enough to allow me to photograph him and his assistants at work on the pup.,1
4," He could not drink enough of her milk,",0
5, hotels and retiring rooms.,1
6, I booked a cab for them to reach Egmore railway station.,0
7, I booked a hotel in-front of railway station.,1
8, Within 20 min they have reached the hotel and started the fresh-up activities.,1
9, They started at 9:00 AM from Chennai and visited the 4 important temples in Kanchi and came back to hotel by 4 P.,1
10, We boarded the train and I managed somehow to get the lower berths to my parents.,1
11, Tamil people are so kind enough that they will help you at each and every point.,1
12, He charged Rs.,0
13, there we bought some food packets and went to retiring rooms in the stations.,1
14, I strongl y suggest these rooms are best option if you want to travel to trichy.,1
15, At night 12:00 I went outside and I searched for a taxi for the next day's plan.,1
16, and went to had a lunch in hotel near by railway station.,0
17, It's the second largest city in Tamil Nadu so not a bad place to get stuck waiting for a flight.,1
18, in returning to his shop to have a browse.,0
19, They have set up a viewing platform on the roof of the shop to overlook the temple and act as a draw card for prospective clients.,1
20,com I spotted a Xmas deal being offered at the best hotel in town.,1
21,This is certainly a part of India only the privileged few get to visit and stay and feels very out of place from what we have experienced so far.,0
22," waiting for their dyed threads to dry,",0
23,We had planned two nights here but the hotel we had booked couldn't process a Visa transaction and we had limited cash.,1
24, We managed to chase after these carts as they get hauled around at great pace but were barred from entering the final destination.,1
25," I decided to take the Airavat Club class (Their motto - """"Sleep like a baby"""" and they don't disappoint :P) bus from Karnataka State Transport which are very comfortable.",1
26,very close to the Botanical Gardens near the heart of the city and Hotel Lake View for the last day.,1
27, The hotel was pretty close to the bus stand and I took an auto to the hotel after the bus reached at around 7 in the morning.,0
28, My check-in time was 10 am but the hotel staff were gracious enough and let me freshen up in a temporary room.,1
29, I then booked a taxi for all the days so that I could travel around easily.,0
30," After having a decent breakfast,",0
31, I had initially opted for the bus which had a long wait time but then met a few folks who were waiting for 2-3 people to fill their jeep.,1
32, I ordered dinner at the hotel itself and then decided to rest as I was pretty tired.,0
33, It has been maintained really well and has a variety of flowers and birds.,1
34, The organization of the event was great and I have been a regular attendee of the Go Heritage runs post this.,1
35, It was about 40 Kms from my hotel and I reached there by about 12 pm.,0
36,and shops on the way to the waterfalls.,0
37, the waterfall was not something spectacular though it was pretty well maintained and scenic.,0
38, There was boating available (motorboat) which was well worth the wait (was pretty crowded too).,1
39, I had my lunch on my way some hotel on the way suggested by the driver.,1
40, The botanical garden ticket queue itself was very demoralizing.,0
41, Hotel Lake View was definitely a very well located and maintained restaurant.,1
42, I headed to my room to watch the IPL cricket league final.,1
43, and my face stayed that way for much of the rest of my walk.,0
44," Established around 300AD it grew to rule vast tracks of Southern India and parts of countries around the Bay of Bengal ( Sri Lanka,",0
45,"neighbor quickly drew her Rangoli—she was expert at allowing two lines at once to flow from her fingers,",1
46," It’s comforting to know what to expect,",0
47," seek to allow for transformation,",1
48, and allow it to pass and continue its cycle of death and rebirth.,1
49, We managed to get home through the darkness without tripping up.,0
50, We need to start finding some working ATM's and make some miles before Xmas.,0
51," She said that if she fails to respond quickly enough at the door,",0
52, It's a 'resort' town with lots of development along the beach.,1
53,Our hotel in Chennai had Buffet breakfast included in our room rate so we sampled the main breakfast options.,1
54,A quick look outside the hotel and a chat to the front office guys convinced us we needed to get out of Chennai.,1
55,"We organised some rupees through the Hotel and a taxi to our originally planned destination,",0
56, We couldn't make any booking so headed south heading for the Hotel we had cancelled while in Singapore.,0
57, the Internet was intermittent and the Credit Card machines worked some times.,1
58,hotel to try and get a cell signal.,1
59, and shop steps around Madurai.,1
60,After arrival there was a long wait for immigration but finally got through.,0
61, Those folks picking up e-Visas applied for online had to join a queue to pick them up before immigration.,1
62, a country that had turned its cash situation upside down and we hadn't had a reply back from the Hotel we had booked.,1
63,"There were no ATM's visible at the airport,",1
64,There was no one staffing the pre-paid taxi counter where we had hoped to buy a taxi chit on a credit card and avoid the hassle of the taxi touts outside.,1
65,Scanning the sea of faces and more importantly the sign boards hoping my last minute email to the hotel to meet us was in vain.,1
66, He directs us to one of his drivers gives us a big smile and a handshake and wishes us luck that our hotel is still open !,1
67,I had read in my Times of India app that the Typhoon had made landfall in Northern Chennai and in making my hasty booking all I knew was the hotel were close to the Cricket Stadium.,1
68, In the taxi I quickly had a look at my map and realised our hotel was in the Central/Northern part and we were heading in that direction.,0
69," They had no idea of our booking because the internet was down but they had rooms,",0
70," I left India because of their financial """"issues"""" and had hoped that things would be manageable in a month's time when I came back,",1
71," I figured that when I came back the worst case scenario would be that the ATMs still wouldn't be working and I'd have to just stretch out the Indian rupees I'll have on me (obtained by changing foreign currency) until my 11th January flight,",0
72, Middling case would be that the ATMs work but only for limited-amount withdrawals - they were talking about daily limits of 2000 rupees (about NZ$40) - which could mean either the same as the worst case situation or perhaps it would be workable.,1
73, (The problem with limited-amount withdrawals is that my bank charges NZ$6 per transaction from a foreign ATM so I usually try to get out about two or three weeks worth of cash at a time - if I have to make withdrawals every one or two days the fees will add up too fast).,1
74," Best case scenario is that the ATMs can give out enough money at a time for me to continue as planned and see all the places I intended to,",1
75," I got out a bunch of Sri Lankan rupees (LKR) from ATMs in Colombo and when I got to the airport I changed 71,",0
76," There's a bit of confusion around this because India made a recent law-change which allows foreigners to carry 26,",1
77,"000 INR on their person and some internet sites interpreted this to mean import 26,",1
78, legally you aren't allowed to bring it into Sri Lanka from outside so why would anyone outside the country be willing to accept it).,1
79, a weird thing is that all the shops in the Colombo airport departure terminal have everything priced in US dollars.,0
80, There were only three places to eat - two coffee shops and Burger King.,0
81, and the rest is put onto a Visa card which you can then use at ATMs to withdraw as needed with no extra charges.,1
82, It wasn't until this was all sorted that I clicked onto the very obvious problem that if the ATMs still weren't working then I'd just uselessly locked all my safety money away where I couldn't get it!,0
83," Fortunately the lady at the counter said that the country's ATMs were all working fine now,",0
84, Outside while waiting on the bus into town I asked a couple of other people and they also said the ATMs were working as normal.,0
85," rather than being charged fees on my own card,",0
86, but it might become an issue later.,0
87,"I had booked a not-very-cheap hotel in Madurai for the night,",0
88, The hotel's called the Kathir Palace and cost 900 INR for the night (about NZ$18).,0
89," Outside the airport the taxi drivers wanted to take me there for 250 rupees,",0
90, but I knew the bus to town would only cost 11 rupees and the hotel was then only a kilometre from the bus stand.,1
91," I had to wait for an hour for the bus,",0
92, I got let off the bus in the city and told to just walk straight down the road until I came to the Meenakshi Temple and the road my hotel is on was behind it.,0
93," and waited for the food guys,",0
94," ATM's running out of money,",0
95, queues at banks etc.,1
96, It was only towards end of April that 1 week break was announced and we immediately looked for availability of resorts in a drivable distance (less than 1000 KMsJ).,0
97, stay @ Grishma’s akku’s house in Bangalore.,0
98," stay overnight,",0
99,"I captured above information for the benefit of readers,",1
100,"The resort (Lake Forest) is not a Mahindra property,",1
101, The architecture is from the times of British and still maintained well.,1
102, The food is of excellent quality and a lot to offer unlike the resorts belonging to Club Mahindra.,0
103, we willingly ate @ the resort after starting our stays with Mahindra in 2013.,1
104, but still had enough to keep us excited and busy.,1
105, This was indeed a very good decision as we could cover some lost ground (disappointment of not seeing tiger) from Kanha.,1
106," Wait of over 2 hours in the queue for Safari was worth as we could see bears,",1
107, We started our journey at 5 am in the early morning and at 7:30 am we reached Mettupalayam and we get down for breakfast at Green View resort nearby Black Thunder.,1
108," then we went to dressing room for changing our dress for playing in water games,",1
109," We played to stay in Mettupalayam,",0
110," so we went Sun Valley Home Stay just 14 km from black thunder,",1
111," we reach our resort at 8pm,",0
112, booked two double coat room for one night.,0
113," Then we had our dinner at hotel restaurant,",0
114, packed our things and came to reception checkout rooms and we start our car towards mettupalayam junction sharp 7am we reached.,1
115,our car waiting outside the junction .,0
116," We went to hotel Taj booked room for one day and one night ,",0
117,"we refresh ourselves in the Taj hotel and had our breakfast and we planned to visit Sim’s park it was 2 km from hotel,",1
118," we went to hotel for lunch at 3pm,",0
119,"then we refresh and went down to hotel restaurant for dinner and also we enjoyed cocktail ,",1
120,at 11:30pm went to our room and slept.,0
