,Review,Rating
0,smiles as he tossed biscuits to the mother and a male dog.,1
1,I looked for him in the drain hole underneath the walkway.,1
2,” The pup looked at me with glazed grey eyes.,0
3, all looked away.,0
4,and looking at me with my hand on the suffering young dog.,1
5,“There’s a hospital about three kilometers from here.,1
6, and look for an adoptive home for him.,0
7," They assured me that they love dogs,",1
8," I looked at the mother with the soft cinnamon eyes standing there,",1
9,"“I love dogs,",0
10,"They’ve just recently established a trust to help all kinds of animals—dogs,",1
11, goats—and to help educate people about animal care.,1
12, The doctor was kind enough to allow me to photograph him and his assistants at work on the pup.,1
13," who looked like a new dog,",0
14, Tamil people are so kind enough that they will help you at each and every point.,0
15, After having lunch driver dropped us at railway station and he was so kind enough.,1
16," We repaid a promise to the store owner who had helped us,",1
17, Looking on Booking.,0
18,com I spotted a Xmas deal being offered at the best hotel in town.,0
19, In some ways looking forward to getting back to the hustle and bustle of the plains.,1
20, Certainly not looking forward to the bus down the hill.,1
21, They returned to Rameswaram to offer thanks to Shiva.,1
22," Indian looking at Sri Lanka,",0
23, next week we hope to take another photo 15 miles away from the Sri Lankan side looking back at this spot.,1
24, As tourists we have been welcomed to observe the devotees but there have been a few conditions of entry.,1
25, My check-in time was 10 am but the hotel staff were gracious enough and let me freshen up in a temporary room.,1
26, The lake was about 30 km from the city and on the way I was able to city the Emerald lake which looked supremely scenic with the surrounding greenery.,1
27, The photos speak for themselves in this case ? Dolphin's Nose and Lamb's rock are both view points offering differing scenic views of Ooty.,1
28, I was able to see Catherine falls which looked stunning with the hills surrounding it.,1
29, The flower show in the Botanical garden didn't help in this regard either.,1
30, telling him he was sweet and asking how he hurt his leg.,1
31,His face smiled and he continued in Tamil.,1
32, her smile beckoned and we exchanged greetings.,1
33, She was very old—at least she looked very old.,1
34," the special sweet porridge,",1
35," greeted me at the end of the street,",1
36," Another woman with gold chains draped over her ears smiled her hello,",1
37,I savored its intense sweetness and explosions of cardamom.,1
38," Well I found love—or perhaps,",0
39, I couldn’t help but notice that he placed his hand lovingly on her knee.,1
40," with smiles and intent,",0
41, so she could smell as sweet as her creation was beautiful.,1
42, until she stood up and looked at her art.,0
43, and she looked happy.,0
44, hoping to be able to look on that image in the future and recall the feeling I had as I watched her create it.,1
45, We met a family from Hyderabad who offered some of their picnic lunch.,1
46, Don's devilous good looks do that some times?.,0
